gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],
309,54.6194,53.6718,53.8142,54.0586,54.4734,55.1714,56.3388,58.2852,
310,55.2707,54.3227,54.465,54.7095,55.1244,55.8223,56.9897,58.9361,
311,55.9296,54.9812,55.1235,55.3679,55.7828,56.4808,57.6482,59.5946,
312,56.5961,55.6472,55.7896,56.034,56.4489,57.1469,58.3144,60.2606,
313,57.2703,56.3211,56.4634,56.7079,57.1228,57.8207,58.9882,60.9344,
314,57.9523,57.0027,57.1451,57.3895,57.8044,58.5024,59.6698,61.6161,
315,58.6423,57.6922,57.8346,58.079,58.4939,59.1919,60.3594,62.3056,
316,59.3402,58.3898,58.5321,58.7766,59.1915,59.8895,61.0569,63.0032,
317,60.0462,59.0954,59.2378,59.4822,59.8971,60.5951,61.7625,63.7088,
318,60.7604,59.8092,59.9516,60.196,60.6109,61.3089,62.4763,64.4226,
319,61.4828,60.5313,60.6736,60.9181,61.333,62.031,63.1984,65.1447,
320,62.2137,61.2617,61.4041,61.6485,62.0634,62.7614,63.9289,65.8751,
321,62.9529,62.0007,62.143,62.3875,62.8024,63.5003,64.6678,66.614,
322,63.7008,62.7481,62.8905,63.1349,63.5498,64.2478,65.4152,67.3614,
323,64.4573,63.5043,63.6466,63.8911,64.306,65.0039,66.1713,68.1175,
324,65.2226,64.2692,64.4116,64.656,65.0709,65.7688,66.9362,68.8823,
325,65.9968,65.043,65.1853,65.4298,65.8446,66.5426,67.7099,69.656,
326,66.7799,65.8257,65.9681,66.2125,66.6274,67.3253,68.4926,70.4386,
327,67.5721,66.6176,66.7599,67.0043,67.4191,68.117,69.2843,71.2303,
328,68.3735,67.4185,67.5609,67.8053,68.2201,68.9179,70.0852,72.031,
329,69.1841,68.2288,68.3711,68.6155,69.0303,69.7281,70.8953,72.8412,
330,70.0042,69.0484,69.1907,69.4351,69.8499,70.5477,71.7148,73.6608,
331,70.8337,69.8774,70.0198,70.2641,70.6789,71.3767,72.5438,74.4899,
332,71.6729,70.7161,70.8584,71.1028,71.5176,72.2153,73.3825,75.3287,
333,72.5218,71.5645,71.7068,71.9512,72.3659,73.0637,74.2309,76.177,
334,73.3805,72.4227,72.565,72.8094,73.2242,73.922,75.0892,77.0353,
335,74.2492,73.2909,73.4332,73.6776,74.0924,74.7902,75.9574,77.9036,
336,75.1279,74.1691,74.3114,74.5559,74.9707,75.6685,76.8357,78.7819,
337,76.0168,75.0575,75.1999,75.4443,75.8591,76.557,77.7242,79.6705,
338,76.916,75.9563,76.0986,76.3431,76.7579,77.4558,78.6231,80.5693,
339,77.8256,76.8655,77.0078,77.2523,77.6671,78.365,79.5323,81.4786,
340,78.7458,77.7852,77.9276,78.172,78.5869,79.2847,80.4521,82.3984,
341,79.6766,78.7156,78.858,79.1024,79.5173,80.2152,81.3825,83.3289,
342,80.6182,79.6568,79.7992,80.0436,80.4585,81.1564,82.3237,84.2701,
343,81.5708,80.6089,80.7513,80.9958,81.4106,82.1085,83.2759,85.2223,
344,82.5343,81.5721,81.7145,81.9589,82.3738,83.0717,84.239,86.1854,
345,83.509,82.5464,82.6888,82.9332,83.3481,84.046,85.2134,87.1598,
346,84.495,83.5319,83.6744,83.9188,84.3337,85.0316,86.199,88.1454,
347,85.4925,84.529,84.6714,84.9159,85.3307,86.0286,87.196,89.1425,
348,86.5014,85.5375,85.68,85.9245,86.3393,87.0372,88.2046,90.1511,
349,87.5221,86.5578,86.7003,86.9447,87.3596,88.0575,89.2249,91.1714,
350,88.5546,87.5899,87.7324,87.9768,88.3917,89.0896,90.257,92.2035,
351,89.5991,88.634,88.7764,89.0209,89.4358,90.1337,91.3011,93.2476,
352,90.6556,89.6902,89.8326,90.0771,90.4919,91.1899,92.3573,94.3038,
353,91.7245,90.7586,90.901,91.1455,91.5604,92.2583,93.4257,95.3722,
354,92.8056,91.8394,91.9818,92.2263,92.6411,93.3391,94.5065,96.453,
355,93.8993,92.9327,93.0751,93.3196,93.7345,94.4324,95.5998,97.5463,
356,95.0057,94.0387,94.1811,94.4256,94.8404,95.5383,96.7058,98.6522,
357,96.1249,95.1575,95.2999,95.5444,95.9592,96.6571,97.8245,99.771,
358,97.2571,96.2893,96.4317,96.6762,97.091,97.7889,98.9563,100.903,
359,98.4024,97.4342,97.5766,97.821,98.2359,98.9337,100.101,102.047,
360,99.5609,98.5923,98.7347,98.9792,99.394,100.092,101.259,103.205,
361,100.733,99.7639,99.9063,100.151,100.566,101.263,102.431,104.377,
362,101.918,100.949,101.091,101.336,101.751,102.449,103.616,105.562,
363,103.118,102.148,102.29,102.535,102.95,103.647,104.815,106.761,
364,104.331,103.361,103.503,103.747,104.162,104.86,106.027,107.974,
365,105.558,104.588,104.73,104.974,105.389,106.087,107.254,109.201,
366,106.8,105.829,105.971,106.215,106.63,107.328,108.495,110.442,
367,108.055,107.084,107.226,107.471,107.886,108.583,109.751,111.697,
368,109.326,108.354,108.496,108.741,109.155,109.853,111.021,112.967,
369,110.611,109.639,109.781,110.025,110.44,111.138,112.305,114.252,
370,111.911,110.938,111.081,111.325,111.74,112.438,113.605,115.551,
371,113.226,112.253,112.395,112.64,113.054,113.752,114.92,116.866,
372,114.556,113.583,113.725,113.969,114.384,115.082,116.249,118.196,
373,115.902,114.928,115.07,115.315,115.729,116.427,117.595,119.541,
374,117.263,116.289,116.431,116.676,117.09,117.788,118.956,120.902,
375,118.64,117.665,117.808,118.052,118.467,119.165,120.332,122.279,
376,120.033,119.058,119.2,119.445,119.86,120.557,121.725,123.671,
377,121.442,120.467,120.609,120.853,121.268,121.966,123.133,125.08,
378,122.868,121.892,122.034,122.278,122.693,123.391,124.558,126.505,
379,124.31,123.333,123.476,123.72,124.135,124.833,126,127.946,
380,125.769,124.792,124.934,125.178,125.593,126.291,127.458,129.405,
381,127.244,126.267,126.409,126.653,127.068,127.766,128.933,130.88,
382,128.737,127.759,127.901,128.146,128.56,129.258,130.426,132.372,
383,130.247,129.269,129.411,129.655,130.07,130.768,131.935,133.881,
384,131.774,130.796,130.938,131.182,131.597,132.295,133.462,135.408,
385,133.32,132.34,132.483,132.727,133.142,133.839,135.007,136.953,
386,134.883,133.903,134.045,134.289,134.704,135.402,136.569,138.515,
387,136.464,135.484,135.626,135.87,136.285,136.983,138.15,140.096,
388,138.063,137.083,137.225,137.469,137.884,138.582,139.749,141.695,
389,139.681,138.7,138.842,139.087,139.501,140.199,141.366,143.312,
390,141.318,140.336,140.479,140.723,141.137,141.835,143.002,144.948,
391,142.974,141.992,142.134,142.378,142.793,143.49,144.657,146.603,
392,144.649,143.666,143.808,144.052,144.467,145.164,146.331,148.278,
393,146.343,145.36,145.502,145.746,146.161,146.858,148.025,149.971,
394,148.057,147.073,147.215,147.459,147.874,148.572,149.739,151.685,
395,149.791,148.806,148.948,149.193,149.607,150.305,151.472,153.418,
396,151.545,150.56,150.702,150.946,151.361,152.058,153.225,155.171,
397,153.319,152.333,152.475,152.72,153.134,153.832,154.999,156.945,
398,155.114,154.127,154.27,154.514,154.928,155.626,156.793,158.739,
399,156.929,155.943,156.085,156.329,156.743,157.441,158.608,160.554,
400,158.766,157.779,157.921,158.165,158.58,159.277,160.444,162.39,
401,160.624,159.636,159.778,160.022,160.437,161.134,162.302,164.248,
402,162.503,161.515,161.657,161.901,162.316,163.013,164.18,166.126,
403,164.404,163.415,163.558,163.802,164.216,164.914,166.081,168.027,
404,166.328,165.338,165.48,165.725,166.139,166.837,168.004,169.95,
405,168.273,167.283,167.425,167.669,168.084,168.782,169.949,171.895,
406,170.241,169.251,169.393,169.637,170.052,170.749,171.916,173.862,
407,172.232,171.241,171.383,171.627,172.042,172.739,173.906,175.853,
408,174.246,173.254,173.396,173.641,174.055,174.753,175.92,177.866,
409,176.283,175.291,175.433,175.677,176.092,176.789,177.956,179.903,
410,178.344,177.351,177.493,177.738,178.152,178.85,180.017,181.963,
411,180.428,179.435,179.578,179.822,180.236,180.934,182.101,184.047,
412,182.537,181.544,181.686,181.93,182.345,183.042,184.209,186.155,
413,184.671,183.676,183.819,184.063,184.477,185.175,186.342,188.288,
414,186.829,185.834,185.976,186.22,186.635,187.332,188.499,190.445,
415,189.012,188.016,188.158,188.403,188.817,189.515,190.682,192.628,
416,191.22,190.224,190.366,190.61,191.025,191.722,192.889,194.836,
417,193.454,192.457,192.599,192.844,193.258,193.956,195.123,197.069,
418,195.713,194.717,194.859,195.103,195.517,196.215,197.382,199.328,
419,197.999,197.002,197.144,197.388,197.803,198.5,199.667,201.613,
