gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],
249,26.5668,-2.47849,-2.4589,-2.43651,-2.41087,-2.38147,-2.34764,-2.30872,
250,26.8931,-2.44975,-2.43049,-2.40849,-2.38329,-2.35439,-2.32113,-2.28287,
251,27.2232,-2.42118,-2.40225,-2.38064,-2.35587,-2.32747,-2.29478,-2.25716,
252,27.5571,-2.39278,-2.37419,-2.35295,-2.32861,-2.3007,-2.26857,-2.23159,
253,27.8949,-2.36457,-2.34629,-2.32543,-2.30151,-2.27408,-2.24251,-2.20616,
254,28.2366,-2.33652,-2.31857,-2.29808,-2.27458,-2.24763,-2.2166,-2.18088,
255,28.5823,-2.30866,-2.29102,-2.2709,-2.24781,-2.22134,-2.19085,-2.15574,
256,28.932,-2.28098,-2.26366,-2.24389,-2.22121,-2.1952,-2.16525,-2.13076,
257,29.2857,-2.25348,-2.23646,-2.21706,-2.19478,-2.16924,-2.1398,-2.10592,
258,29.6435,-2.22617,-2.20945,-2.1904,-2.16852,-2.14343,-2.11452,-2.08123,
259,30.0055,-2.19904,-2.18262,-2.16392,-2.14243,-2.11779,-2.0894,-2.05669,
260,30.3716,-2.17209,-2.15598,-2.13762,-2.11652,-2.09232,-2.06444,-2.03231,
261,30.742,-2.14534,-2.12952,-2.11149,-2.09078,-2.06702,-2.03964,-2.00809,
262,31.1167,-2.11877,-2.10324,-2.08555,-2.06521,-2.0419,-2.015,-1.98402,
263,31.4958,-2.0924,-2.07715,-2.05979,-2.03983,-2.01694,-1.99053,-1.96011,
264,31.8792,-2.06621,-2.05125,-2.03422,-2.01462,-1.99215,-1.96623,-1.93635,
265,32.267,-2.04022,-2.02554,-2.00883,-1.98959,-1.96754,-1.94209,-1.91276,
266,32.6594,-2.01443,-2.00002,-1.98362,-1.96475,-1.94311,-1.91813,-1.88934,
267,33.0563,-1.98883,-1.97469,-1.95861,-1.94009,-1.91885,-1.89434,-1.86607,
268,33.4578,-1.96342,-1.94955,-1.93378,-1.91561,-1.89477,-1.87071,-1.84297,
269,33.864,-1.93822,-1.92461,-1.90914,-1.89131,-1.87087,-1.84726,-1.82004,
270,34.2748,-1.91321,-1.89986,-1.88469,-1.86721,-1.84716,-1.82399,-1.79727,
271,34.6904,-1.8884,-1.87531,-1.86044,-1.84328,-1.82362,-1.80089,-1.77467,
272,35.1109,-1.86379,-1.85095,-1.83637,-1.81955,-1.80026,-1.77797,-1.75225,
273,35.5362,-1.83939,-1.8268,-1.81251,-1.79601,-1.77709,-1.75522,-1.72999,
274,35.9664,-1.81518,-1.80285,-1.78883,-1.77265,-1.75411,-1.73266,-1.70791,
275,36.4016,-1.79118,-1.77909,-1.76535,-1.74949,-1.73131,-1.71027,-1.686,
276,36.8419,-1.76738,-1.75554,-1.74207,-1.72652,-1.70869,-1.68806,-1.66427,
277,37.2872,-1.74379,-1.73219,-1.71898,-1.70374,-1.68626,-1.66603,-1.64271,
278,37.7377,-1.72041,-1.70903,-1.69609,-1.68115,-1.66402,-1.64419,-1.62133,
279,38.1935,-1.69722,-1.68608,-1.6734,-1.65876,-1.64197,-1.62252,-1.60011,
280,38.6545,-1.67425,-1.66333,-1.6509,-1.63655,-1.6201,-1.60104,-1.57908,
281,39.1209,-1.65147,-1.64079,-1.62861,-1.61454,-1.59842,-1.57974,-1.55822,
282,39.5926,-1.62891,-1.61844,-1.60651,-1.59273,-1.57693,-1.55862,-1.53753,
283,40.0698,-1.60655,-1.5963,-1.58461,-1.57111,-1.55563,-1.53768,-1.51703,
284,40.5526,-1.58439,-1.57436,-1.56291,-1.54968,-1.53452,-1.51693,-1.4967,
285,41.0409,-1.56244,-1.55262,-1.5414,-1.52845,-1.5136,-1.49637,-1.47655,
286,41.5349,-1.5407,-1.53109,-1.5201,-1.50742,-1.49287,-1.47599,-1.45658,
287,42.0347,-1.51917,-1.50976,-1.499,-1.48658,-1.47233,-1.4558,-1.43679,
288,42.5402,-1.49784,-1.48864,-1.4781,-1.46593,-1.45198,-1.4358,-1.41717,
289,43.0516,-1.47673,-1.46771,-1.4574,-1.44549,-1.43183,-1.41598,-1.39774,
290,43.5689,-1.45581,-1.447,-1.4369,-1.42524,-1.41186,-1.39634,-1.37848,
291,44.0922,-1.43511,-1.42648,-1.4166,-1.40518,-1.39209,-1.37689,-1.3594,
292,44.6215,-1.41461,-1.40617,-1.3965,-1.38532,-1.3725,-1.35763,-1.3405,
293,45.157,-1.39432,-1.38607,-1.3766,-1.36566,-1.35311,-1.33855,-1.32178,
294,45.6987,-1.37424,-1.36616,-1.35689,-1.34619,-1.33391,-1.31966,-1.30324,
295,46.2467,-1.35436,-1.34646,-1.33739,-1.32691,-1.3149,-1.30095,-1.28488,
296,46.801,-1.33468,-1.32696,-1.31809,-1.30783,-1.29608,-1.28243,-1.2667,
297,47.3617,-1.31521,-1.30766,-1.29898,-1.28895,-1.27745,-1.26409,-1.2487,
298,47.9289,-1.29595,-1.28857,-1.28007,-1.27026,-1.259,-1.24594,-1.23087,
299,48.5027,-1.2769,-1.26967,-1.26136,-1.25176,-1.24075,-1.22797,-1.21323,
300,49.0832,-1.25805,-1.25098,-1.24285,-1.23346,-1.22269,-1.21019,-1.19576,
301,49.6704,-1.2394,-1.23249,-1.22454,-1.21535,-1.20482,-1.19259,-1.17847,
302,50.2644,-1.22095,-1.21419,-1.20642,-1.19744,-1.18713,-1.17518,-1.16137,
303,50.8652,-1.20271,-1.1961,-1.1885,-1.17971,-1.16964,-1.15795,-1.14443,
304,51.473,-1.18467,-1.17821,-1.17077,-1.16218,-1.15233,-1.1409,-1.12768,
305,52.0879,-1.16682,-1.16051,-1.15324,-1.14484,-1.13521,-1.12403,-1.1111,
306,52.7099,-1.14918,-1.14301,-1.1359,-1.12769,-1.11828,-1.10735,-1.09471,
307,53.3391,-1.13174,-1.12571,-1.11876,-1.11074,-1.10153,-1.09085,-1.07848,
308,53.9756,-1.1145,-1.1086,-1.10181,-1.09397,-1.08497,-1.07452,-1.06244,
309,54.6194,-1.09745,-1.09169,-1.08506,-1.07739,-1.06859,-1.05839,-1.04656,
