gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],
200,14.4183,-4.01506,-3.88569,-3.72557,-3.52721,-3.28046,-2.97567,-2.60989,
201,14.6039,-3.97901,-3.85144,-3.69351,-3.49778,-3.25415,-2.95302,-2.59136,
202,14.7916,-3.94306,-3.81728,-3.66153,-3.46839,-3.22787,-2.9304,-2.57284,
203,14.9815,-3.90723,-3.78321,-3.62962,-3.43906,-3.20162,-2.90779,-2.5543,
204,15.1736,-3.87151,-3.74924,-3.59779,-3.40979,-3.17541,-2.88519,-2.53574,
205,15.3679,-3.83591,-3.71539,-3.56604,-3.38057,-3.14923,-2.86259,-2.51716,
206,15.5645,-3.80043,-3.68163,-3.53437,-3.35141,-3.12309,-2.84001,-2.49857,
207,15.7633,-3.76506,-3.64798,-3.50278,-3.32232,-3.097,-2.81744,-2.48003,
208,15.9645,-3.72981,-3.61443,-3.47128,-3.2933,-3.07095,-2.79489,-2.46148,
209,16.168,-3.69469,-3.58099,-3.43986,-3.26433,-3.04494,-2.77236,-2.44292,
210,16.3738,-3.6597,-3.54765,-3.40854,-3.23544,-3.01898,-2.74984,-2.42436,
211,16.5821,-3.62483,-3.51443,-3.3773,-3.20662,-2.99306,-2.72735,-2.40579,
212,16.7927,-3.59008,-3.48132,-3.34616,-3.17786,-2.96719,-2.7049,-2.38723,
213,17.0058,-3.55547,-3.44832,-3.31511,-3.14918,-2.94137,-2.68248,-2.3687,
214,17.2213,-3.52099,-3.41543,-3.28416,-3.12058,-2.9156,-2.66008,-2.35017,
215,17.4394,-3.48664,-3.38266,-3.25331,-3.09205,-2.88989,-2.63772,-2.33165,
216,17.66,-3.45242,-3.35001,-3.22256,-3.0636,-2.86423,-2.61539,-2.31312,
217,17.8831,-3.41834,-3.31748,-3.1919,-3.03523,-2.83862,-2.59309,-2.29461,
218,18.1088,-3.3844,-3.28507,-3.16135,-3.00695,-2.81308,-2.57083,-2.27612,
219,18.3372,-3.35059,-3.25279,-3.13091,-2.97874,-2.7876,-2.54861,-2.25767,
220,18.5681,-3.31693,-3.22063,-3.10057,-2.95063,-2.76218,-2.52642,-2.23923,
221,18.8018,-3.28343,-3.18859,-3.07034,-2.9226,-2.73683,-2.50428,-2.2208,
222,19.0381,-3.25008,-3.15669,-3.04023,-2.89466,-2.71155,-2.48217,-2.20238,
223,19.2772,-3.21686,-3.12491,-3.01022,-2.86682,-2.68634,-2.46011,-2.18398,
224,19.5191,-3.1838,-3.09327,-2.98033,-2.83907,-2.66119,-2.43812,-2.1656,
225,19.7638,-3.15089,-3.06176,-2.95056,-2.81142,-2.63613,-2.41618,-2.14729,
226,20.0113,-3.11812,-3.03038,-2.9209,-2.78387,-2.61114,-2.3943,-2.12901,
227,20.2617,-3.08551,-2.99915,-2.89137,-2.75641,-2.58622,-2.37246,-2.11074,
228,20.5149,-3.05306,-2.96805,-2.86195,-2.72906,-2.56139,-2.35068,-2.09249,
229,20.7711,-3.02076,-2.9371,-2.83266,-2.70181,-2.53663,-2.32895,-2.07427,
230,21.0303,-2.98862,-2.90628,-2.8035,-2.67467,-2.51197,-2.30728,-2.05608,
231,21.2925,-2.95663,-2.87563,-2.77447,-2.64764,-2.48739,-2.28568,-2.03792,
232,21.5577,-2.92481,-2.84512,-2.74556,-2.62072,-2.4629,-2.26414,-2.01982,
233,21.826,-2.89315,-2.81477,-2.7168,-2.59391,-2.43849,-2.24266,-2.00176,
234,22.0974,-2.86166,-2.78456,-2.68817,-2.56722,-2.41419,-2.22125,-1.98373,
235,22.3719,-2.83033,-2.75451,-2.65968,-2.54065,-2.38997,-2.1999,-1.96574,
236,22.6496,-2.79918,-2.72462,-2.63134,-2.5142,-2.36586,-2.17862,-1.94779,
237,22.9306,-2.7682,-2.69489,-2.60313,-2.48787,-2.34184,-2.15742,-1.92987,
238,23.2148,-2.73739,-2.66532,-2.57507,-2.46166,-2.31793,-2.1363,-1.912,
239,23.5023,-2.70676,-2.6359,-2.54715,-2.43558,-2.29411,-2.11525,-1.89419,
240,23.7931,-2.67631,-2.60666,-2.51938,-2.40963,-2.27041,-2.09428,-1.87643,
241,24.0873,-2.64604,-2.57757,-2.49176,-2.38381,-2.24681,-2.07338,-1.85873,
242,24.3848,-2.61594,-2.54866,-2.46428,-2.35811,-2.22331,-2.05257,-1.84107,
243,24.6859,-2.58603,-2.51991,-2.43696,-2.33254,-2.19992,-2.03183,-1.82346,
244,24.9904,-2.5563,-2.49133,-2.40979,-2.30711,-2.17663,-2.01117,-1.8059,
245,25.2985,-2.52676,-2.46292,-2.38278,-2.28181,-2.15346,-1.99059,-1.78839,
246,25.6101,-2.4974,-2.43468,-2.35592,-2.25664,-2.1304,-1.97009,-1.77094,
247,25.9253,-2.46825,-2.40662,-2.32921,-2.23161,-2.10745,-1.94968,-1.75356,
248,26.2442,-2.43928,-2.37873,-2.30266,-2.20672,-2.08461,-1.92936,-1.73625,
249,26.5668,-2.4105,-2.35102,-2.27628,-2.18197,-2.06189,-1.90913,-1.719,
250,26.8931,-2.38192,-2.32348,-2.25005,-2.15736,-2.03929,-1.88899,-1.70181,
251,27.2232,-2.35352,-2.29612,-2.22398,-2.13288,-2.0168,-1.86894,-1.68467,
252,27.5571,-2.32532,-2.26894,-2.19808,-2.10856,-1.99444,-1.84898,-1.6676,
253,27.8949,-2.29731,-2.24194,-2.17233,-2.08437,-1.9722,-1.82913,-1.65059,
