gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
136,79.7002,70.6765,70.6765,70.6765,70.6765,70.6765,70.6444,70.6444,70.6444,70.6444,70.6444,70.6074,70.6074,70.6074,70.6074,70.6074,70.5676,70.5676,70.5676,70.5676,70.5676,70.5277,70.5277,70.5277,70.5277,70.5277
137,82.0826,72.8532,72.8532,72.8532,72.8532,72.8532,72.8212,72.8212,72.8212,72.8212,72.8212,72.7844,72.7844,72.7844,72.7844,72.7844,72.7448,72.7448,72.7448,72.7448,72.7448,72.7052,72.7052,72.7052,72.7052,72.7052
138,84.5349,75.0941,75.0941,75.0941,75.0941,75.0941,75.0623,75.0623,75.0623,75.0623,75.0623,75.0257,75.0257,75.0257,75.0257,75.0257,74.9862,74.9862,74.9862,74.9862,74.9862,74.9469,74.9469,74.9469,74.9469,74.9469
139,87.0591,77.4009,77.4009,77.4009,77.4009,77.4009,77.3693,77.3693,77.3693,77.3693,77.3693,77.3329,77.3329,77.3329,77.3329,77.3329,77.2936,77.2936,77.2936,77.2936,77.2936,77.2543,77.2543,77.2543,77.2543,77.2543
140,89.6572,79.7757,79.7757,79.7757,79.7757,79.7757,79.7442,79.7442,79.7442,79.7442,79.7442,79.708,79.708,79.708,79.708,79.708,79.6688,79.6688,79.6688,79.6688,79.6688,79.6296,79.6296,79.6296,79.6296,79.6296
141,92.3314,82.2198,82.2198,82.2198,82.2198,82.2198,82.1886,82.1886,82.1886,82.1886,82.1886,82.1526,82.1526,82.1526,82.1526,82.1526,82.1137,82.1137,82.1137,82.1137,82.1137,82.0748,82.0748,82.0748,82.0748,82.0748
142,95.084,84.7358,84.7358,84.7358,84.7358,84.7358,84.7047,84.7047,84.7047,84.7047,84.7047,84.6689,84.6689,84.6689,84.6689,84.6689,84.6303,84.6303,84.6303,84.6303,84.6303,84.5917,84.5917,84.5917,84.5917,84.5917
143,97.9173,87.3264,87.3264,87.3264,87.3264,87.3264,87.2952,87.2952,87.2952,87.2952,87.2952,87.2594,87.2594,87.2594,87.2594,87.2594,87.2208,87.2208,87.2208,87.2208,87.2208,87.1823,87.1823,87.1823,87.1823,87.1823
144,100.834,89.9934,89.9934,89.9934,89.9934,89.9934,89.9622,89.9622,89.9622,89.9622,89.9622,89.9264,89.9264,89.9264,89.9264,89.9264,89.8879,89.8879,89.8879,89.8879,89.8879,89.8494,89.8494,89.8494,89.8494,89.8494
145,103.835,92.739,92.739,92.739,92.739,92.739,92.7078,92.7078,92.7078,92.7078,92.7078,92.6721,92.6721,92.6721,92.6721,92.6721,92.6337,92.6337,92.6337,92.6337,92.6337,92.5953,92.5953,92.5953,92.5953,92.5953
