gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
118,46.7394,41.3644,41.3644,41.3644,41.3369,41.3369,41.3369,41.3043,41.3043,41.3043,41.268,41.268,41.268,41.2308,41.2308,41.2308
119,48.1559,42.6605,42.6605,42.6605,42.6331,42.6331,42.6331,42.6006,42.6006,42.6006,42.5644,42.5644,42.5644,42.5273,42.5273,42.5273
120,49.614,43.9949,43.9949,43.9949,43.9674,43.9674,43.9674,43.935,43.935,43.935,43.8989,43.8989,43.8989,43.8618,43.8618,43.8618
121,51.1148,45.3686,45.3686,45.3686,45.3411,45.3411,45.3411,45.3087,45.3087,45.3087,45.2726,45.2726,45.2726,45.2356,45.2356,45.2356
122,52.6596,46.7826,46.7826,46.7826,46.7552,46.7552,46.7552,46.7229,46.7229,46.7229,46.6869,46.6869,46.6869,46.6499,46.6499,46.6499
123,54.2497,48.238,48.238,48.238,48.2108,48.2108,48.2108,48.1786,48.1786,48.1786,48.1427,48.1427,48.1427,48.1058,48.1058,48.1058
124,55.8863,49.7361,49.7361,49.7361,49.709,49.709,49.709,49.6769,49.6769,49.6769,49.6412,49.6412,49.6412,49.6045,49.6045,49.6045
125,57.5709,51.2787,51.2787,51.2787,51.2515,51.2515,51.2515,51.2193,51.2193,51.2193,51.1836,51.1836,51.1836,51.147,51.147,51.147
126,59.3049,52.8668,52.8668,52.8668,52.8396,52.8396,52.8396,52.8073,52.8073,52.8073,52.7715,52.7715,52.7715,52.7348,52.7348,52.7348
127,61.0897,54.5017,54.5017,54.5017,54.4745,54.4745,54.4745,54.4423,54.4423,54.4423,54.4064,54.4064,54.4064,54.3697,54.3697,54.3697
128,62.9268,56.1846,56.1846,56.1846,56.1575,56.1575,56.1575,56.1254,56.1254,56.1254,56.0896,56.0896,56.0896,56.0529,56.0529,56.0529
129,64.8177,57.9171,57.9171,57.9171,57.8901,57.8901,57.8901,57.858,57.858,57.858,57.8224,57.8224,57.8224,57.7857,57.7857,57.7857
130,66.7641,59.7006,59.7006,59.7006,59.6736,59.6736,59.6736,59.6417,59.6417,59.6417,59.6061,59.6061,59.6061,59.5694,59.5694,59.5694
131,68.7675,61.5366,61.5366,61.5366,61.5096,61.5096,61.5096,61.4777,61.4777,61.4777,61.4421,61.4421,61.4421,61.4054,61.4054,61.4054
132,70.8295,63.4266,63.4266,63.4266,63.3996,63.3996,63.3996,63.3677,63.3677,63.3677,63.3321,63.3321,63.3321,63.2953,63.2953,63.2953
133,72.9521,65.3723,65.3723,65.3723,65.3453,65.3453,65.3453,65.3134,65.3134,65.3134,65.2778,65.2778,65.2778,65.2411,65.2411,65.2411
134,75.1368,67.3754,67.3754,67.3754,67.3484,67.3484,67.3484,67.3164,67.3164,67.3164,67.2809,67.2809,67.2809,67.2443,67.2443,67.2443
135,77.3855,69.4374,69.4374,69.4374,69.4104,69.4104,69.4104,69.3786,69.3786,69.3786,69.3431,69.3431,69.3431,69.3066,69.3066,69.3066
136,79.7002,71.5601,71.5601,71.5601,71.5332,71.5332,71.5332,71.5014,71.5014,71.5014,71.466,71.466,71.466,71.4296,71.4296,71.4296
137,82.0826,73.7453,73.7453,73.7453,73.7184,73.7184,73.7184,73.6866,73.6866,73.6866,73.6513,73.6513,73.6513,73.6149,73.6149,73.6149
138,84.5349,75.9948,75.9948,75.9948,75.9679,75.9679,75.9679,75.9361,75.9361,75.9361,75.9008,75.9008,75.9008,75.8645,75.8645,75.8645
139,87.0591,78.3103,78.3103,78.3103,78.2834,78.2834,78.2834,78.2517,78.2517,78.2517,78.2164,78.2164,78.2164,78.1802,78.1802,78.1802
140,89.6572,80.6939,80.6939,80.6939,80.667,80.667,80.667,80.6353,80.6353,80.6353,80.6001,80.6001,80.6001,80.564,80.564,80.564
141,92.3314,83.1478,83.1478,83.1478,83.1209,83.1209,83.1209,83.0892,83.0892,83.0892,83.054,83.054,83.054,83.0179,83.0179,83.0179
142,95.084,85.6738,85.6738,85.6738,85.6469,85.6469,85.6469,85.6152,85.6152,85.6152,85.58,85.58,85.58,85.5439,85.5439,85.5439
143,97.9173,88.2741,88.2741,88.2741,88.2472,88.2472,88.2472,88.2155,88.2155,88.2155,88.1802,88.1802,88.1802,88.1442,88.1442,88.1442
144,100.834,90.9509,90.9509,90.9509,90.924,90.924,90.924,90.8923,90.8923,90.8923,90.857,90.857,90.857,90.8209,90.8209,90.8209
145,103.835,93.7063,93.7063,93.7063,93.6794,93.6794,93.6794,93.6477,93.6477,93.6477,93.6124,93.6124,93.6124,93.5764,93.5764,93.5764
146,106.925,96.5426,96.5426,96.5426,96.5157,96.5157,96.5157,96.4841,96.4841,96.4841,96.4489,96.4489,96.4489,96.4128,96.4128,96.4128
147,110.105,99.4622,99.4622,99.4622,99.4354,99.4354,99.4354,99.4038,99.4038,99.4038,99.3686,99.3686,99.3686,99.3326,99.3326,99.3326
148,113.379,102.468,102.468,102.468,102.441,102.441,102.441,102.409,102.409,102.409,102.374,102.374,102.374,102.338,102.338,102.338
149,116.748,105.561,105.561,105.561,105.535,105.535,105.535,105.503,105.503,105.503,105.468,105.468,105.468,105.432,105.432,105.432
150,120.216,108.746,108.746,108.746,108.719,108.719,108.719,108.688,108.688,108.688,108.652,108.652,108.652,108.617,108.617,108.617
151,123.786,112.024,112.024,112.024,111.997,111.997,111.997,111.966,111.966,111.966,111.931,111.931,111.931,111.895,111.895,111.895
152,127.461,115.398,115.398,115.398,115.372,115.372,115.372,115.34,115.34,115.34,115.305,115.305,115.305,115.269,115.269,115.269
153,131.243,118.872,118.872,118.872,118.845,118.845,118.845,118.813,118.813,118.813,118.779,118.779,118.779,118.743,118.743,118.743
154,135.136,122.447,122.447,122.447,122.42,122.42,122.42,122.389,122.389,122.389,122.354,122.354,122.354,122.318,122.318,122.318
155,139.143,126.127,126.127,126.127,126.101,126.101,126.101,126.069,126.069,126.069,126.034,126.034,126.034,125.999,125.999,125.999
156,143.267,129.916,129.916,129.916,129.889,129.889,129.889,129.858,129.858,129.858,129.823,129.823,129.823,129.787,129.787,129.787
157,147.512,133.815,133.815,133.815,133.789,133.789,133.789,133.757,133.757,133.757,133.722,133.722,133.722,133.687,133.687,133.687
158,151.882,137.829,137.829,137.829,137.803,137.803,137.803,137.771,137.771,137.771,137.736,137.736,137.736,137.701,137.701,137.701
159,156.38,141.961,141.961,141.961,141.934,141.934,141.934,141.903,141.903,141.903,141.868,141.868,141.868,141.833,141.833,141.833
160,161.009,146.214,146.214,146.214,146.187,146.187,146.187,146.156,146.156,146.156,146.121,146.121,146.121,146.086,146.086,146.086
161,165.774,150.592,150.592,150.592,150.565,150.565,150.565,150.534,150.534,150.534,150.499,150.499,150.499,150.463,150.463,150.463
162,170.679,155.098,155.098,155.098,155.072,155.072,155.072,155.04,155.04,155.04,155.005,155.005,155.005,154.97,154.97,154.97
163,175.728,159.737,159.737,159.737,159.71,159.71,159.71,159.679,159.679,159.679,159.644,159.644,159.644,159.608,159.608,159.608
164,180.924,164.512,164.512,164.512,164.485,164.485,164.485,164.454,164.454,164.454,164.419,164.419,164.419,164.383,164.383,164.383
165,186.273,169.426,169.426,169.426,169.4,169.4,169.4,169.368,169.368,169.368,169.333,169.333,169.333,169.298,169.298,169.298
166,191.779,174.485,174.485,174.485,174.459,174.459,174.459,174.427,174.427,174.427,174.392,174.392,174.392,174.357,174.357,174.357
167,197.446,179.692,179.692,179.692,179.666,179.666,179.666,179.634,179.634,179.634,179.6,179.6,179.6,179.564,179.564,179.564
168,203.279,185.053,185.053,185.053,185.026,185.026,185.026,184.995,184.995,184.995,184.96,184.96,184.96,184.924,184.924,184.924
169,209.282,190.57,190.57,190.57,190.543,190.543,190.543,190.512,190.512,190.512,190.477,190.477,190.477,190.441,190.441,190.441
170,215.462,196.249,196.249,196.249,196.222,196.222,196.222,196.191,196.191,196.191,196.156,196.156,196.156,196.12,196.12,196.12
171,221.823,202.094,202.094,202.094,202.068,202.068,202.068,202.036,202.036,202.036,202.002,202.002,202.002,201.966,201.966,201.966
172,228.37,208.111,208.111,208.111,208.085,208.085,208.085,208.053,208.053,208.053,208.019,208.019,208.019,207.983,207.983,207.983
173,235.11,214.305,214.305,214.305,214.278,214.278,214.278,214.247,214.247,214.247,214.212,214.212,214.212,214.176,214.176,214.176
174,242.046,220.68,220.68,220.68,220.653,220.653,220.653,220.622,220.622,220.622,220.587,220.587,220.587,220.552,220.552,220.552
175,249.186,227.242,227.242,227.242,227.216,227.216,227.216,227.184,227.184,227.184,227.149,227.149,227.149,227.114,227.114,227.114
176,256.535,233.997,233.997,233.997,233.97,233.97,233.97,233.939,233.939,233.939,233.904,233.904,233.904,233.868,233.868,233.868
177,264.1,240.949,240.949,240.949,240.922,240.922,240.922,240.891,240.891,240.891,240.856,240.856,240.856,240.821,240.821,240.821
