gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
44,4.10232,2.61186,2.61186,2.61186,2.61186,2.61186,2.56837,2.56837,2.56837,2.56837,2.56837,2.51885,2.51885,2.51885,2.51885,2.51885,2.46621,2.46621,2.46621,2.46621,2.46621,2.41466,2.41466,2.41466,2.41466,2.41466
45,4.26943,2.73595,2.73595,2.73595,2.73595,2.73595,2.69098,2.69098,2.69098,2.69098,2.69098,2.64057,2.64057,2.64057,2.64057,2.64057,2.5874,2.5874,2.5874,2.5874,2.5874,2.53458,2.53458,2.53458,2.53458,2.53458
46,4.44143,2.86535,2.86535,2.86535,2.86535,2.86535,2.81949,2.81949,2.81949,2.81949,2.81949,2.7676,2.7676,2.7676,2.7676,2.7676,2.71301,2.71301,2.71301,2.71301,2.71301,2.65909,2.65909,2.65909,2.65909,2.65909
47,4.61847,2.99983,2.99983,2.99983,2.99983,2.99983,2.95383,2.95383,2.95383,2.95383,2.95383,2.90118,2.90118,2.90118,2.90118,2.90118,2.84493,2.84493,2.84493,2.84493,2.84493,2.78935,2.78935,2.78935,2.78935,2.78935
48,4.8007,3.13932,3.13932,3.13932,3.13932,3.13932,3.09277,3.09277,3.09277,3.09277,3.09277,3.03963,3.03963,3.03963,3.03963,3.03963,2.98294,2.98294,2.98294,2.98294,2.98294,2.9262,2.9262,2.9262,2.9262,2.9262
49,4.98827,3.28402,3.28402,3.28402,3.28402,3.28402,3.23669,3.23669,3.23669,3.23669,3.23669,3.18249,3.18249,3.18249,3.18249,3.18249,3.12541,3.12541,3.12541,3.12541,3.12541,3.06857,3.06857,3.06857,3.06857,3.06857
50,5.18134,3.43441,3.43441,3.43441,3.43441,3.43441,3.38662,3.38662,3.38662,3.38662,3.38662,3.33183,3.33183,3.33183,3.33183,3.33183,3.27368,3.27368,3.27368,3.27368,3.27368,3.2157,3.2157,3.2157,3.2157,3.2157
51,5.38006,3.59059,3.59059,3.59059,3.59059,3.59059,3.54248,3.54248,3.54248,3.54248,3.54248,3.48759,3.48759,3.48759,3.48759,3.48759,3.42895,3.42895,3.42895,3.42895,3.42895,3.37007,3.37007,3.37007,3.37007,3.37007
52,5.58461,3.75236,3.75236,3.75236,3.75236,3.75236,3.70402,3.70402,3.70402,3.70402,3.70402,3.64857,3.64857,3.64857,3.64857,3.64857,3.58962,3.58962,3.58962,3.58962,3.58962,3.53089,3.53089,3.53089,3.53089,3.53089
53,5.79515,3.91973,3.91973,3.91973,3.91973,3.91973,3.87136,3.87136,3.87136,3.87136,3.87136,3.81554,3.81554,3.81554,3.81554,3.81554,3.75587,3.75587,3.75587,3.75587,3.75587,3.69674,3.69674,3.69674,3.69674,3.69674
54,6.01186,4.09337,4.09337,4.09337,4.09337,4.09337,4.04494,4.04494,4.04494,4.04494,4.04494,3.9891,3.9891,3.9891,3.9891,3.9891,3.92914,3.92914,3.92914,3.92914,3.92914,3.86945,3.86945,3.86945,3.86945,3.86945
55,6.23493,4.27337,4.27337,4.27337,4.27337,4.27337,4.22475,4.22475,4.22475,4.22475,4.22475,4.16899,4.16899,4.16899,4.16899,4.16899,4.1091,4.1091,4.1091,4.1091,4.1091,4.04925,4.04925,4.04925,4.04925,4.04925
56,6.46452,4.45987,4.45987,4.45987,4.45987,4.45987,4.411,4.411,4.411,4.411,4.411,4.35502,4.35502,4.35502,4.35502,4.35502,4.29483,4.29483,4.29483,4.29483,4.29483,4.23475,4.23475,4.23475,4.23475,4.23475
57,6.70085,4.6527,4.6527,4.6527,4.6527,4.6527,4.60387,4.60387,4.60387,4.60387,4.60387,4.54785,4.54785,4.54785,4.54785,4.54785,4.48762,4.48762,4.48762,4.48762,4.48762,4.42719,4.42719,4.42719,4.42719,4.42719
58,6.94411,4.852,4.852,4.852,4.852,4.852,4.80335,4.80335,4.80335,4.80335,4.80335,4.7476,4.7476,4.7476,4.7476,4.7476,4.68771,4.68771,4.68771,4.68771,4.68771,4.62775,4.62775,4.62775,4.62775,4.62775
59,7.19449,5.05834,5.05834,5.05834,5.05834,5.05834,5.01003,5.01003,5.01003,5.01003,5.01003,4.95435,4.95435,4.95435,4.95435,4.95435,4.89456,4.89456,4.89456,4.89456,4.89456,4.83475,4.83475,4.83475,4.83475,4.83475
60,7.45221,5.27151,5.27151,5.27151,5.27151,5.27151,5.22348,5.22348,5.22348,5.22348,5.22348,5.16814,5.16814,5.16814,5.16814,5.16814,5.10848,5.10848,5.10848,5.10848,5.10848,5.04865,5.04865,5.04865,5.04865,5.04865
61,7.71748,5.49205,5.49205,5.49205,5.49205,5.49205,5.44398,5.44398,5.44398,5.44398,5.44398,5.389,5.389,5.389,5.389,5.389,5.32984,5.32984,5.32984,5.32984,5.32984,5.27029,5.27029,5.27029,5.27029,5.27029
62,7.99052,5.72032,5.72032,5.72032,5.72032,5.72032,5.67212,5.67212,5.67212,5.67212,5.67212,5.61703,5.61703,5.61703,5.61703,5.61703,5.55824,5.55824,5.55824,5.55824,5.55824,5.49937,5.49937,5.49937,5.49937,5.49937
