gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
248,26.2442,26.0516,26.0519,26.0522,26.0524,26.0527,26.0529,26.0532
249,26.5668,26.372,26.3722,26.3725,26.3728,26.373,26.3733,26.3736
250,26.8931,26.696,26.6963,26.6966,26.6968,26.6971,26.6974,26.6976
251,27.2232,27.0238,27.0241,27.0244,27.0247,27.0249,27.0252,27.0255
252,27.5571,27.3554,27.3557,27.356,27.3563,27.3565,27.3568,27.3571
253,27.8949,27.6909,27.6912,27.6914,27.6917,27.692,27.6923,27.6926
254,28.2366,28.0302,28.0305,28.0308,28.0311,28.0313,28.0316,28.0319
255,28.5823,28.3735,28.3738,28.3741,28.3743,28.3746,28.3749,28.3752
256,28.932,28.7207,28.721,28.7213,28.7216,28.7219,28.7222,28.7224
257,29.2857,29.072,29.0723,29.0726,29.0729,29.0732,29.0734,29.0737
258,29.6435,29.4273,29.4276,29.4279,29.4282,29.4285,29.4288,29.4291
259,30.0055,29.7868,29.7871,29.7874,29.7877,29.788,29.7883,29.7886
260,30.3716,30.1504,30.1507,30.151,30.1513,30.1516,30.1519,30.1522
261,30.742,30.5182,30.5185,30.5188,30.5191,30.5194,30.5197,30.52
262,31.1167,30.8903,30.8906,30.8909,30.8912,30.8915,30.8918,30.8922
263,31.4958,31.2667,31.267,31.2673,31.2676,31.2679,31.2683,31.2686
264,31.8792,31.6475,31.6478,31.6481,31.6484,31.6487,31.649,31.6494
265,32.267,32.0326,32.0329,32.0333,32.0336,32.0339,32.0342,32.0345
266,32.6594,32.4223,32.4226,32.4229,32.4232,32.4236,32.4239,32.4242
267,33.0563,32.8164,32.8167,32.8171,32.8174,32.8177,32.818,32.8184
268,33.4578,33.2151,33.2155,33.2158,33.2161,33.2164,33.2168,33.2171
269,33.864,33.6185,33.6188,33.6191,33.6195,33.6198,33.6201,33.6205
270,34.2748,34.0265,34.0268,34.0271,34.0275,34.0278,34.0282,34.0285
271,34.6904,34.4392,34.4395,34.4399,34.4402,34.4406,34.4409,34.4412
272,35.1109,34.8567,34.857,34.8574,34.8577,34.8581,34.8584,34.8588
273,35.5362,35.2791,35.2794,35.2798,35.2801,35.2805,35.2808,35.2812
274,35.9664,35.7063,35.7067,35.707,35.7074,35.7077,35.7081,35.7084
275,36.4016,36.1385,36.1388,36.1392,36.1396,36.1399,36.1403,36.1406
276,36.8419,36.5757,36.5761,36.5764,36.5768,36.5771,36.5775,36.5779
277,37.2872,37.018,37.0183,37.0187,37.0191,37.0194,37.0198,37.0202
278,37.7377,37.4653,37.4657,37.4661,37.4665,37.4668,37.4672,37.4676
