gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
58,6.94411,2.75847,2.75847,2.75847,2.75847,2.75847,2.7339,2.7339,2.7339,2.7339,2.7339,2.70588,2.70588,2.70588,2.70588,2.70588,2.67588,2.67588,2.67588,2.67588,2.67588,3.09565,3.09565,3.09565,3.09565,3.09565
59,7.19449,2.84917,2.84917,2.84917,2.84917,2.84917,2.82374,2.82374,2.82374,2.82374,2.82374,2.7947,2.7947,2.7947,2.7947,2.7947,2.76368,2.76368,2.76368,2.76368,2.76368,3.2121,3.2121,3.2121,3.2121,3.2121
60,7.45221,2.94273,2.94273,2.94273,2.94273,2.94273,2.91649,2.91649,2.91649,2.91649,2.91649,2.88656,2.88656,2.88656,2.88656,2.88656,2.85437,2.85437,2.85437,2.85437,2.85437,3.33656,3.33656,3.33656,3.33656,3.33656
61,7.71748,3.03933,3.03933,3.03933,3.03933,3.03933,3.01233,3.01233,3.01233,3.01233,3.01233,2.98139,2.98139,2.98139,2.98139,2.98139,2.94803,2.94803,2.94803,2.94803,2.94803,3.46783,3.46783,3.46783,3.46783,3.46783
62,7.99052,3.13907,3.13907,3.13907,3.13907,3.13907,3.11124,3.11124,3.11124,3.11124,3.11124,3.07929,3.07929,3.07929,3.07929,3.07929,3.04484,3.04484,3.04484,3.04484,3.04484,3.59891,3.59891,3.59891,3.59891,3.59891
63,8.27157,3.24197,3.24197,3.24197,3.24197,3.24197,3.21333,3.21333,3.21333,3.21333,3.21333,3.18044,3.18044,3.18044,3.18044,3.18044,3.14496,3.14496,3.14496,3.14496,3.14496,3.73539,3.73539,3.73539,3.73539,3.73539
64,8.56085,3.34814,3.34814,3.34814,3.34814,3.34814,3.31876,3.31876,3.31876,3.31876,3.31876,3.28498,3.28498,3.28498,3.28498,3.28498,3.24836,3.24836,3.24836,3.24836,3.24836,3.88031,3.88031,3.88031,3.88031,3.88031
65,8.85861,3.45777,3.45777,3.45777,3.45777,3.45777,3.42764,3.42764,3.42764,3.42764,3.42764,3.39291,3.39291,3.39291,3.39291,3.39291,3.35517,3.35517,3.35517,3.35517,3.35517,4.02907,4.02907,4.02907,4.02907,4.02907
66,9.16509,3.57092,3.57092,3.57092,3.57092,3.57092,3.54002,3.54002,3.54002,3.54002,3.54002,3.50434,3.50434,3.50434,3.50434,3.50434,3.46557,3.46557,3.46557,3.46557,3.46557,4.17969,4.17969,4.17969,4.17969,4.17969
67,9.48056,3.68766,3.68766,3.68766,3.68766,3.68766,3.656,3.656,3.656,3.656,3.656,3.61942,3.61942,3.61942,3.61942,3.61942,3.57969,3.57969,3.57969,3.57969,3.57969,4.33663,4.33663,4.33663,4.33663,4.33663
