gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
279,38.1935,36.5487,36.9057,37.2626,37.6194,37.9761,38.3327,38.6893
280,38.6545,36.9904,37.3517,37.7129,38.074,38.435,38.796,39.1569
281,39.1209,37.4372,37.8029,38.1684,38.5339,38.8993,39.2645,39.6298
282,39.5926,37.8892,38.2593,38.6292,38.9991,39.3689,39.7386,40.1082
283,40.0698,38.3464,38.721,39.0954,39.4697,39.8439,40.2181,40.5922
284,40.5526,38.809,39.188,39.5669,39.9458,40.3245,40.7031,41.0818
285,41.0409,39.2769,39.6605,40.0439,40.4273,40.8106,41.1938,41.577
286,41.5349,39.7502,40.1384,40.5265,40.9145,41.3024,41.6902,42.078
287,42.0347,40.229,40.6219,41.0146,41.4073,41.7998,42.1923,42.5848
288,42.5402,40.7133,41.1109,41.5084,41.9058,42.3031,42.7003,43.0974
289,43.0516,41.2032,41.6056,42.0079,42.4101,42.8121,43.2141,43.616
290,43.5689,41.6989,42.1061,42.5132,42.9202,43.3271,43.7339,44.1406
291,44.0922,42.2002,42.6124,43.0243,43.4362,43.848,44.2597,44.6713
292,44.6215,42.7074,43.1245,43.5414,43.9582,44.3749,44.7916,45.2081
293,45.157,43.2205,43.6425,44.0645,44.4863,44.908,45.3296,45.7512
294,45.6987,43.7395,44.1666,44.5936,45.0204,45.4472,45.8739,46.3005
295,46.2467,44.2645,44.6967,45.1288,45.5608,45.9927,46.4245,46.8562
296,46.801,44.7956,45.233,45.6703,46.1074,46.5445,46.9815,47.4184
297,47.3617,45.3328,45.7755,46.218,46.6604,47.1027,47.5449,47.987
298,47.9289,45.8763,46.3242,46.7721,47.2197,47.6673,48.1148,48.5623
299,48.5027,46.426,46.8794,47.3325,47.7856,48.2385,48.6914,49.1442
300,49.0832,46.9822,47.4409,47.8995,48.358,48.8164,49.2746,49.7328
301,49.6704,47.5448,48.009,48.4731,48.937,49.4009,49.8646,50.3283
302,50.2644,48.1139,48.5836,49.0533,49.5228,49.9922,50.4614,50.9307
303,50.8652,48.6895,49.1649,49.6402,50.1153,50.5903,51.0652,51.54
304,51.473,49.2719,49.753,50.2339,50.7147,51.1953,51.6759,52.1564
305,52.0879,49.861,50.3478,50.8345,51.321,51.8074,52.2937,52.78
306,52.7099,50.4569,50.9496,51.442,51.9344,52.4266,52.9187,53.4107
307,53.3391,51.0598,51.5583,52.0566,52.5548,53.0529,53.5509,54.0488
308,53.9756,51.6696,52.174,52.6783,53.1825,53.6865,54.1904,54.6943
309,54.6194,52.2865,52.7969,53.3072,53.8174,54.3274,54.8374,55.3472
310,55.2707,52.9105,53.427,53.9434,54.4597,54.9758,55.4918,56.0078
311,55.9296,53.5417,54.0645,54.587,55.1094,55.6317,56.1538,56.6759
312,56.5961,54.1803,54.7093,55.238,55.7666,56.2951,56.8235,57.3518
313,57.2703,54.8263,55.3615,55.8966,56.4315,56.9663,57.501,58.0356
314,57.9523,55.4797,56.0213,56.5628,57.104,57.6452,58.1862,58.7272
315,58.6423,56.1408,56.6888,57.2367,57.7844,58.332,58.8795,59.4269
316,59.3402,56.8094,57.364,57.9184,58.4726,59.0268,59.5807,60.1347
317,60.0462,57.4859,58.047,58.608,59.1688,59.7296,60.2901,60.8507
318,60.7604,58.1701,58.738,59.3056,59.8731,60.4405,61.0077,61.5749
319,61.4828,58.8623,59.4369,60.0113,60.5856,61.1597,61.7337,62.3076
320,62.2137,59.5625,60.144,60.7252,61.3062,61.8872,62.468,63.0487
321,62.9529,60.2709,60.8592,61.4473,62.0353,62.6231,63.2108,63.7985
322,63.7008,60.9874,61.5827,62.1778,62.7728,63.3676,63.9623,64.5569
323,64.4573,61.7122,62.3146,62.9168,63.5188,64.1207,64.7224,65.3241
324,65.2226,62.4454,63.055,63.6643,64.2735,64.8825,65.4914,66.1002
325,65.9968,63.1872,63.8039,64.4205,65.0369,65.6531,66.2692,66.8853
326,66.7799,63.9375,64.5616,65.1854,65.8091,66.4327,67.0561,67.6795
327,67.5721,64.6965,65.328,65.9592,66.5903,67.2213,67.8521,68.4829
328,68.3735,65.4643,66.1033,66.742,67.3806,68.019,68.6573,69.2956
329,69.1841,66.241,66.8875,67.5339,68.18,68.826,69.4719,70.1177
