gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
191,12.8409,-4.0922,-4.09065,-4.08729,-4.08214,-4.07535,-4.03929,-4.03796,-4.0348,-4.02992,-4.02341,-3.97965,-3.97855,-3.97565,-3.97104,-3.9648,-3.91505,-3.9142,-3.91158,-3.90727,-3.90136,-3.84769,-3.84709,-3.84475,-3.84077,-3.83521
192,13.0082,-4.07705,-4.07549,-4.07212,-4.06697,-4.06018,-4.02479,-4.02345,-4.02029,-4.0154,-4.00888,-3.96586,-3.96474,-3.96185,-3.95722,-3.95097,-3.90202,-3.90115,-3.89852,-3.89419,-3.88827,-3.8354,-3.83479,-3.83244,-3.82843,-3.82286
193,13.1774,-4.06193,-4.06037,-4.05698,-4.05183,-4.04505,-4.01031,-4.00897,-4.0058,-4.0009,-3.99437,-3.9521,-3.95096,-3.94805,-3.94341,-3.93717,-3.889,-3.88811,-3.88547,-3.88112,-3.8752,-3.82312,-3.82249,-3.82013,-3.81611,-3.81051
194,13.3486,-4.04684,-4.04527,-4.04188,-4.03673,-4.02995,-3.99586,-3.99451,-3.99134,-3.98643,-3.97989,-3.93834,-3.9372,-3.93427,-3.92962,-3.92338,-3.87598,-3.87508,-3.87242,-3.86807,-3.86214,-3.81083,-3.81019,-3.80782,-3.80378,-3.79817
195,13.5218,-4.03179,-4.03021,-4.02681,-4.02166,-4.01488,-3.98144,-3.98007,-3.97689,-3.97198,-3.96543,-3.92461,-3.92345,-3.9205,-3.91586,-3.90962,-3.86297,-3.86206,-3.85938,-3.85502,-3.84908,-3.79856,-3.79789,-3.79551,-3.79145,-3.78584
196,13.697,-4.01677,-4.01518,-4.01177,-4.00663,-3.99985,-3.96704,-3.96565,-3.96247,-3.95755,-3.951,-3.9109,-3.90973,-3.90677,-3.90212,-3.89587,-3.84998,-3.84905,-3.84635,-3.84199,-3.83604,-3.78629,-3.7856,-3.7832,-3.77913,-3.77352
197,13.8742,-4.00177,-4.00019,-3.99676,-3.99162,-3.98484,-3.95267,-3.95126,-3.94807,-3.94315,-3.9366,-3.8972,-3.89602,-3.89304,-3.8884,-3.88214,-3.83698,-3.83604,-3.83333,-3.82896,-3.82301,-3.77402,-3.77332,-3.7709,-3.76683,-3.7612
198,14.0535,-3.98681,-3.98522,-3.98179,-3.97665,-3.96987,-3.93831,-3.9369,-3.9337,-3.92877,-3.92223,-3.88351,-3.88232,-3.87934,-3.87469,-3.86842,-3.824,-3.82304,-3.82033,-3.81594,-3.80998,-3.76175,-3.76104,-3.7586,-3.75452,-3.74888
199,14.2348,-3.97188,-3.97028,-3.96685,-3.96171,-3.95492,-3.92398,-3.92256,-3.91935,-3.91441,-3.90788,-3.86984,-3.86864,-3.86565,-3.86099,-3.85472,-3.81102,-3.81006,-3.80733,-3.80293,-3.79696,-3.74947,-3.74875,-3.7463,-3.74222,-3.73656
200,14.4183,-3.95698,-3.95538,-3.95194,-3.9468,-3.94001,-3.90967,-3.90824,-3.90502,-3.90009,-3.89356,-3.85618,-3.85498,-3.85199,-3.84731,-3.84104,-3.79806,-3.79707,-3.79435,-3.78994,-3.78395,-3.7372,-3.73647,-3.73401,-3.72991,-3.72424
201,14.6039,-3.94211,-3.9405,-3.93706,-3.93192,-3.92513,-3.89539,-3.89395,-3.89072,-3.88579,-3.87926,-3.84255,-3.84133,-3.83834,-3.83365,-3.82737,-3.78511,-3.7841,-3.78137,-3.77695,-3.77096,-3.72494,-3.7242,-3.72173,-3.71761,-3.71193
