gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
112,39.0479,28.3616,28.3616,28.3616,28.2395,28.2395,28.2395,28.0942,28.0942,28.0942,27.9316,27.9316,27.9316,27.7628,27.7628,27.7628
113,40.239,29.2887,29.2887,29.2887,29.167,29.167,29.167,29.0218,29.0218,29.0218,28.8593,28.8593,28.8593,28.6908,28.6908,28.6908
114,41.4651,30.244,30.244,30.244,30.1227,30.1227,30.1227,29.9778,29.9778,29.9778,29.815,29.815,29.815,29.6465,29.6465,29.6465
115,42.7271,31.228,31.228,31.228,31.1071,31.1071,31.1071,30.963,30.963,30.963,30.8008,30.8008,30.8008,30.6321,30.6321,30.6321
116,44.0261,32.2418,32.2418,32.2418,32.121,32.121,32.121,31.9772,31.9772,31.9772,31.8156,31.8156,31.8156,31.6475,31.6475,31.6475
117,45.3631,33.2865,33.2865,33.2865,33.1653,33.1653,33.1653,33.0215,33.0215,33.0215,32.86,32.86,32.86,32.692,32.692,32.692
118,46.7394,34.3628,34.3628,34.3628,34.2413,34.2413,34.2413,34.0973,34.0973,34.0973,33.9362,33.9362,33.9362,33.7688,33.7688,33.7688
119,48.1559,35.4717,35.4717,35.4717,35.3501,35.3501,35.3501,35.206,35.206,35.206,35.0452,35.0452,35.0452,34.8786,34.8786,34.8786
120,49.614,36.6139,36.6139,36.6139,36.4922,36.4922,36.4922,36.3478,36.3478,36.3478,36.187,36.187,36.187,36.0211,36.0211,36.0211
121,51.1148,37.7905,37.7905,37.7905,37.6686,37.6686,37.6686,37.524,37.524,37.524,37.363,37.363,37.363,37.1973,37.1973,37.1973
122,52.6596,39.0026,39.0026,39.0026,38.8808,38.8808,38.8808,38.7363,38.7363,38.7363,38.575,38.575,38.575,38.4089,38.4089,38.4089
123,54.2497,40.2507,40.2507,40.2507,40.1291,40.1291,40.1291,39.9849,39.9849,39.9849,39.8239,39.8239,39.8239,39.6573,39.6573,39.6573
124,55.8863,41.5362,41.5362,41.5362,41.4147,41.4147,41.4147,41.2708,41.2708,41.2708,41.1102,41.1102,41.1102,40.9439,40.9439,40.9439
125,57.5709,42.8606,42.8606,42.8606,42.7388,42.7388,42.7388,42.595,42.595,42.595,42.4349,42.4349,42.4349,42.2693,42.2693,42.2693
126,59.3049,44.2246,44.2246,44.2246,44.103,44.103,44.103,43.9591,43.9591,43.9591,43.799,43.799,43.799,43.6337,43.6337,43.6337
127,61.0897,45.6296,45.6296,45.6296,45.5083,45.5083,45.5083,45.3645,45.3645,45.3645,45.204,45.204,45.204,45.0382,45.0382,45.0382
128,62.9268,47.0765,47.0765,47.0765,46.9553,46.9553,46.9553,46.8117,46.8117,46.8117,46.6513,46.6513,46.6513,46.4855,46.4855,46.4855
129,64.8177,48.5665,48.5665,48.5665,48.4456,48.4456,48.4456,48.3022,48.3022,48.3022,48.1422,48.1422,48.1422,47.9768,47.9768,47.9768
130,66.7641,50.1008,50.1008,50.1008,49.9802,49.9802,49.9802,49.8371,49.8371,49.8371,49.6773,49.6773,49.6773,49.5123,49.5123,49.5123
131,68.7675,51.6803,51.6803,51.6803,51.5603,51.5603,51.5603,51.4176,51.4176,51.4176,51.2579,51.2579,51.2579,51.093,51.093,51.093
132,70.8295,53.3067,53.3067,53.3067,53.1871,53.1871,53.1871,53.0448,53.0448,53.0448,52.8855,52.8855,52.8855,52.7207,52.7207,52.7207
133,72.9521,54.9819,54.9819,54.9819,54.8621,54.8621,54.8621,54.7202,54.7202,54.7202,54.5617,54.5617,54.5617,54.3975,54.3975,54.3975
134,75.1368,56.7074,56.7074,56.7074,56.5872,56.5872,56.5872,56.4453,56.4453,56.4453,56.2875,56.2875,56.2875,56.1244,56.1244,56.1244
135,77.3855,58.4844,58.4844,58.4844,58.3641,58.3641,58.3641,58.2219,58.2219,58.2219,58.0644,58.0644,58.0644,57.9022,57.9022,57.9022
136,79.7002,60.3144,60.3144,60.3144,60.1942,60.1942,60.1942,60.0519,60.0519,60.0519,59.8939,59.8939,59.8939,59.732,59.732,59.732
137,82.0826,62.1989,62.1989,62.1989,62.0789,62.0789,62.0789,61.9366,61.9366,61.9366,61.7785,61.7785,61.7785,61.6164,61.6164,61.6164
138,84.5349,64.1396,64.1396,64.1396,64.0198,64.0198,64.0198,63.8777,63.8777,63.8777,63.7196,63.7196,63.7196,63.5573,63.5573,63.5573
