gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
108,34.6128,-11.5125,-11.5125,-11.5099,-11.4576,-11.4576,-11.4551,-11.3905,-11.3905,-11.3883,-11.3104,-11.3104,-11.3086,-11.2179,-11.2179,-11.2163
109,35.674,-11.3991,-11.3991,-11.3965,-11.3459,-11.3459,-11.3434,-11.2808,-11.2808,-11.2786,-11.2031,-11.2031,-11.2013,-11.1134,-11.1134,-11.1118
110,36.7663,-11.286,-11.286,-11.2834,-11.2345,-11.2345,-11.232,-11.1714,-11.1714,-11.1692,-11.0961,-11.0961,-11.0943,-11.0091,-11.0091,-11.0074
111,37.8906,-11.1733,-11.1733,-11.1707,-11.1234,-11.1234,-11.1209,-11.0622,-11.0622,-11.06,-10.9892,-10.9892,-10.9874,-10.9049,-10.9049,-10.9032
112,39.0479,-11.0609,-11.0609,-11.0583,-11.0126,-11.0126,-11.0101,-10.9533,-10.9533,-10.9511,-10.8826,-10.8826,-10.8807,-10.8008,-10.8008,-10.7991
113,40.239,-10.9489,-10.9489,-10.9463,-10.9021,-10.9021,-10.8997,-10.8446,-10.8446,-10.8425,-10.7761,-10.7761,-10.7743,-10.6968,-10.6968,-10.6952
114,41.4651,-10.8373,-10.8373,-10.8348,-10.792,-10.792,-10.7896,-10.7363,-10.7363,-10.7341,-10.6699,-10.6699,-10.668,-10.5931,-10.5931,-10.5914
115,42.7271,-10.7261,-10.7261,-10.7236,-10.6822,-10.6822,-10.6798,-10.6283,-10.6283,-10.6261,-10.564,-10.564,-10.5621,-10.4895,-10.4895,-10.4878
116,44.0261,-10.6154,-10.6154,-10.6128,-10.5728,-10.5728,-10.5705,-10.5205,-10.5205,-10.5183,-10.4583,-10.4583,-10.4564,-10.3861,-10.3861,-10.3845
117,45.3631,-10.505,-10.505,-10.5025,-10.4638,-10.4638,-10.4615,-10.4132,-10.4132,-10.411,-10.3529,-10.3529,-10.351,-10.2829,-10.2829,-10.2813
118,46.7394,-10.3951,-10.3951,-10.3926,-10.3552,-10.3552,-10.3529,-10.3062,-10.3062,-10.304,-10.2478,-10.2478,-10.2459,-10.18,-10.18,-10.1784
119,48.1559,-10.2857,-10.2857,-10.2832,-10.2471,-10.2471,-10.2448,-10.1996,-10.1996,-10.1974,-10.143,-10.143,-10.1411,-10.0774,-10.0774,-10.0757
120,49.614,-10.1768,-10.1768,-10.1743,-10.1395,-10.1395,-10.1371,-10.0934,-10.0934,-10.0912,-10.0386,-10.0386,-10.0367,-9.97503,-9.97503,-9.97339
121,51.1148,-10.0684,-10.0684,-10.0659,-10.0323,-10.0323,-10.0299,-9.9877,-9.9877,-9.98551,-9.93465,-9.93465,-9.93272,-9.87306,-9.87306,-9.87141
122,52.6596,-9.96057,-9.96057,-9.95808,-9.92559,-9.92559,-9.92326,-9.88245,-9.88245,-9.88028,-9.83107,-9.83107,-9.82913,-9.77146,-9.77146,-9.76982
123,54.2497,-9.85324,-9.85324,-9.85077,-9.81941,-9.81941,-9.81708,-9.77766,-9.77766,-9.77552,-9.72793,-9.72793,-9.72599,-9.67023,-9.67023,-9.6686
124,55.8863,-9.74646,-9.74646,-9.744,-9.71375,-9.71375,-9.71142,-9.67336,-9.67336,-9.67122,-9.62521,-9.62521,-9.62329,-9.56939,-9.56939,-9.56775
125,57.5709,-9.64024,-9.64024,-9.63779,-9.60861,-9.60861,-9.60629,-9.56955,-9.56955,-9.56742,-9.52295,-9.52295,-9.52103,-9.46895,-9.46895,-9.46729
126,59.3049,-9.53459,-9.53459,-9.53215,-9.50402,-9.50402,-9.50171,-9.46624,-9.46624,-9.46412,-9.42115,-9.42115,-9.41924,-9.36892,-9.36892,-9.36724
127,61.0897,-9.42952,-9.42952,-9.4271,-9.39998,-9.39998,-9.39768,-9.36345,-9.36345,-9.36134,-9.31982,-9.31982,-9.31792,-9.26932,-9.26932,-9.26763
128,62.9268,-9.32505,-9.32505,-9.32264,-9.2965,-9.2965,-9.29421,-9.26118,-9.26118,-9.25909,-9.21897,-9.21897,-9.21708,-9.17015,-9.17015,-9.16847
129,64.8177,-9.22118,-9.22118,-9.21879,-9.1936,-9.1936,-9.19132,-9.15946,-9.15946,-9.15738,-9.11862,-9.11862,-9.11674,-9.07143,-9.07143,-9.06976
