gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
94,22.5684,-12.9314,-12.9172,-12.8969,-12.8485,-12.8346,-12.8145,-12.7469,-12.7334,-12.7142,-12.6272,-12.6143,-12.5954,-12.4898,-12.4777,-12.4598
95,23.2766,-12.8135,-12.7993,-12.7791,-12.7331,-12.7192,-12.6991,-12.6344,-12.6208,-12.6018,-12.5181,-12.5053,-12.4864,-12.3846,-12.3724,-12.3546
96,24.0056,-12.6958,-12.6817,-12.6615,-12.6178,-12.6039,-12.584,-12.522,-12.5085,-12.4895,-12.409,-12.3962,-12.3774,-12.2793,-12.267,-12.2493
97,24.756,-12.5783,-12.5643,-12.5442,-12.5027,-12.4888,-12.469,-12.4097,-12.3962,-12.3773,-12.2999,-12.2872,-12.2684,-12.1739,-12.1617,-12.144
98,25.5283,-12.4611,-12.4471,-12.4271,-12.3877,-12.374,-12.3542,-12.2976,-12.2841,-12.2652,-12.1909,-12.1782,-12.1595,-12.0685,-12.0563,-12.0386
99,26.3233,-12.3441,-12.3302,-12.3103,-12.273,-12.2593,-12.2396,-12.1856,-12.1722,-12.1532,-12.0819,-12.0693,-12.0507,-11.9632,-11.9509,-11.9332
100,27.1416,-12.2275,-12.2136,-12.1938,-12.1585,-12.1448,-12.1253,-12.0737,-12.0604,-12.0414,-11.9731,-11.9604,-11.942,-11.8578,-11.8456,-11.8277
101,27.9838,-12.111,-12.0973,-12.0776,-12.0442,-12.0306,-12.0111,-11.962,-11.9487,-11.9298,-11.8643,-11.8517,-11.8333,-11.7524,-11.7402,-11.7223
102,28.8508,-11.9949,-11.9812,-11.9617,-11.9301,-11.9166,-11.8973,-11.8504,-11.8373,-11.8183,-11.7557,-11.743,-11.7248,-11.647,-11.6349,-11.617
103,29.7431,-11.8791,-11.8655,-11.8461,-11.8163,-11.8029,-11.7836,-11.7391,-11.726,-11.7071,-11.6472,-11.6345,-11.6164,-11.5416,-11.5296,-11.5117
104,30.6616,-11.7637,-11.7501,-11.7309,-11.7028,-11.6894,-11.6703,-11.6279,-11.6149,-11.596,-11.5388,-11.5261,-11.5081,-11.4363,-11.4243,-11.4065
105,31.607,-11.6485,-11.6351,-11.6159,-11.5896,-11.5762,-11.5572,-11.517,-11.504,-11.4852,-11.4305,-11.4178,-11.3999,-11.3311,-11.3191,-11.3014
106,32.5802,-11.5338,-11.5203,-11.5013,-11.4766,-11.4633,-11.4445,-11.4063,-11.3933,-11.3746,-11.3224,-11.3098,-11.2919,-11.2259,-11.214,-11.1964
107,33.5818,-11.4193,-11.406,-11.3871,-11.3639,-11.3508,-11.332,-11.2958,-11.2829,-11.2644,-11.2145,-11.2019,-11.1842,-11.1209,-11.109,-11.0915
108,34.6128,-11.3053,-11.292,-11.2732,-11.2516,-11.2385,-11.2199,-11.1856,-11.1728,-11.1543,-11.1068,-11.0943,-11.0766,-11.0159,-11.0041,-10.9867
109,35.674,-11.1916,-11.1784,-11.1598,-11.1396,-11.1266,-11.1082,-11.0757,-11.063,-11.0446,-10.9993,-10.9869,-10.9692,-10.9111,-10.8994,-10.8821
110,36.7663,-11.0783,-11.0652,-11.0467,-11.0279,-11.015,-10.9967,-10.966,-10.9534,-10.9352,-10.892,-10.8797,-10.8621,-10.8065,-10.7948,-10.7777
111,37.8906,-10.9654,-10.9524,-10.934,-10.9166,-10.9038,-10.8857,-10.8567,-10.8442,-10.8261,-10.785,-10.7728,-10.7552,-10.7021,-10.6905,-10.6735
112,39.0479,-10.853,-10.84,-10.8218,-10.8057,-10.793,-10.775,-10.7477,-10.7352,-10.7173,-10.6783,-10.6662,-10.6486,-10.5979,-10.5863,-10.5695
113,40.239,-10.741,-10.7281,-10.7101,-10.6952,-10.6826,-10.6648,-10.6391,-10.6267,-10.6089,-10.5719,-10.5598,-10.5423,-10.4939,-10.4824,-10.4656
114,41.4651,-10.6294,-10.6167,-10.5988,-10.5851,-10.5727,-10.555,-10.5308,-10.5185,-10.5009,-10.4657,-10.4537,-10.4363,-10.3902,-10.3787,-10.3621
