gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
62,7.99052,3.07844e-005,0.000111388,0.00017645,0.000111388,3.07844e-005,0.000140585,0.000508684,0.000805806,0.000508684,0.000140585,0.000287897,0.0010417,0.00165016,0.0010417,0.000287897,0.000244571,0.000884938,0.00140183,0.000884938,0.000244571,8.9997e-005,0.000325638,0.000515844,0.000325638,8.9997e-005
63,8.27157,2.72864e-005,9.8731e-005,0.0001564,9.8731e-005,2.72864e-005,0.000125529,0.000454206,0.000719508,0.000454206,0.000125529,0.000259547,0.000939125,0.00148767,0.000939125,0.000259547,0.000222164,0.000803862,0.0012734,0.000803862,0.000222164,8.20354e-005,0.000296831,0.00047021,0.000296831,8.20354e-005
64,8.56085,2.4854e-005,8.993e-005,0.000142458,8.993e-005,2.4854e-005,0.000115269,0.000417083,0.0006607,0.000417083,0.000115269,0.000239578,0.000866872,0.00137321,0.000866872,0.000239578,0.000204964,0.000741625,0.00117481,0.000741625,0.000204964,7.54914e-005,0.000273153,0.000432701,0.000273153,7.54914e-005
65,8.85861,2.22695e-005,8.05783e-005,0.000127644,8.05783e-005,2.22695e-005,0.000102018,0.000369134,0.000584744,0.000369134,0.000102018,0.000212313,0.000768219,0.00121694,0.000768219,0.000212313,0.000184197,0.000666484,0.00105578,0.000666484,0.000184197,6.91222e-005,0.000250107,0.000396194,0.000250107,6.91222e-005
66,9.16509,2.04635e-005,7.40436e-005,0.000117292,7.40436e-005,2.04635e-005,9.31701e-005,0.00033712,0.000534032,0.00033712,9.31701e-005,0.000190775,0.000690286,0.00109348,0.000690286,0.000190775,0.000163816,0.00059274,0.000938959,0.00059274,0.000163816,6.1933e-005,0.000224094,0.000354987,0.000224094,6.1933e-005
67,9.48056,1.82966e-005,6.6203e-005,0.000104872,6.6203e-005,1.82966e-005,8.43206e-005,0.0003051,0.000483308,0.0003051,8.43206e-005,0.000174577,0.000631676,0.00100064,0.000631676,0.000174577,0.000148697,0.000538036,0.000852302,0.000538036,0.000148697,5.45096e-005,0.000197234,0.000312438,0.000197234,5.45096e-005
68,9.80527,1.63762e-005,5.92544e-005,9.38649e-005,5.92544e-005,1.63762e-005,7.56326e-005,0.000273664,0.000433511,0.000273664,7.56326e-005,0.00015827,0.000572672,0.000907169,0.000572672,0.00015827,0.000138591,0.000501466,0.000794372,0.000501466,0.000138591,5.28716e-005,0.000191307,0.000303049,0.000191307,5.28716e-005
69,10.1395,1.47552e-005,5.33891e-005,8.45736e-005,5.33891e-005,1.47552e-005,6.77776e-005,0.000245242,0.000388487,0.000245242,6.77776e-005,0.000139203,0.000503684,0.000797885,0.000503684,0.000139203,0.000119142,0.000431094,0.000682895,0.000431094,0.000119142,4.48493e-005,0.00016228,0.000257067,0.00016228,4.48493e-005
70,10.4835,1.27991e-005,4.63115e-005,7.3362e-005,4.63115e-005,1.27991e-005,5.9835e-005,0.000216503,0.000342962,0.000216503,5.9835e-005,0.000124552,0.000450669,0.000713904,0.000450669,0.000124552,0.000106774,0.000386342,0.000612004,0.000386342,0.000106774,3.95524e-005,0.000143113,0.000226706,0.000143113,3.95524e-005
71,10.8376,1.15661e-005,4.18501e-005,6.62947e-005,4.18501e-005,1.15661e-005,5.33227e-005,0.000192939,0.000305635,0.000192939,5.33227e-005,0.00011105,0.000401816,0.000636516,0.000401816,0.00011105,9.64547e-005,0.000349005,0.000552858,0.000349005,9.64547e-005,3.63148e-005,0.000131399,0.000208149,0.000131399,3.63148e-005
