gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
410,178.344,-0.035353,-0.0345283,-0.0337294,-0.0329576,-0.0322086,-0.0314813,-0.0307752
411,180.428,-0.0345549,-0.0337486,-0.0329676,-0.0322131,-0.0314809,-0.0307699,-0.0300796
412,182.537,-0.0337747,-0.0329865,-0.032223,-0.0314853,-0.0307695,-0.0300745,-0.0293997
413,184.671,-0.0330121,-0.0322415,-0.0314951,-0.030774,-0.0300742,-0.0293948,-0.0287351
414,186.829,-0.0322666,-0.0315133,-0.0307836,-0.0300786,-0.0293945,-0.0287303,-0.0280854
415,189.012,-0.0315379,-0.0308014,-0.0300881,-0.0293989,-0.0287301,-0.0280808,-0.0274504
416,191.22,-0.0308255,-0.0301056,-0.0294082,-0.0287345,-0.0280807,-0.027446,-0.0268297
417,193.454,-0.0301292,-0.0294254,-0.0287437,-0.0280851,-0.0274459,-0.0268254,-0.026223
418,195.713,-0.0294486,-0.0287605,-0.0280941,-0.0274502,-0.0268255,-0.0262189,-0.0256299
419,197.999,-0.0287833,-0.0281106,-0.0274591,-0.0268297,-0.0262189,-0.025626,-0.0250502
420,200.312,-0.0281329,-0.0274753,-0.0268384,-0.0262232,-0.0256261,-0.0250464,-0.0244836
421,202.651,-0.0274972,-0.0268544,-0.0262317,-0.0256303,-0.0250466,-0.02448,-0.0239298
422,205.017,-0.0268758,-0.0262474,-0.0256387,-0.0250507,-0.0244802,-0.0239262,-0.0233884
423,207.411,-0.0262683,-0.025654,-0.025059,-0.0244843,-0.0239265,-0.023385,-0.0228593
424,209.832,-0.0256746,-0.0250741,-0.0244924,-0.0239306,-0.0233853,-0.022856,-0.0223421
425,212.282,-0.0250942,-0.0245072,-0.0239386,-0.0233893,-0.0228563,-0.0223389,-0.0218365
426,214.76,-0.0245269,-0.0239531,-0.0233972,-0.0228603,-0.0223393,-0.0218335,-0.0213424
427,217.266,-0.0239724,-0.0234114,-0.0228681,-0.0223432,-0.0218339,-0.0213394,-0.0208594
428,219.802,-0.0234304,-0.022882,-0.0223508,-0.0218377,-0.0213399,-0.0208565,-0.0203873
429,222.367,-0.0229006,-0.0223645,-0.0218453,-0.0213437,-0.020857,-0.0203845,-0.0199258
430,224.962,-0.0223827,-0.0218586,-0.0213511,-0.0208608,-0.020385,-0.0199232,-0.0194748
431,227.586,-0.0218765,-0.0213642,-0.020868,-0.0203888,-0.0199237,-0.0194722,-0.0190339
432,230.242,-0.0213817,-0.0208809,-0.0203959,-0.0199274,-0.0194728,-0.0190315,-0.018603
433,232.928,-0.020898,-0.0204085,-0.0199344,-0.0194764,-0.019032,-0.0186006,-0.0181818
434,235.645,-0.0204253,-0.0199468,-0.0194833,-0.0190356,-0.0186012,-0.0181795,-0.0177702
