gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
144,100.834,-0.00301146,-0.00300717,-0.00299893,-0.00298757,-0.00297265,-0.00297002,-0.0029656,-0.00295777,-0.00294685,-0.002933,-0.00292213,-0.00291777,-0.0029108,-0.00290065,-0.00288735,-0.00286938,-0.00286559,-0.00285908,-0.00284947,-0.00283654,-0.0028133,-0.00281003,-0.0028039,-0.00279413,-0.00278196
145,103.835,-0.00281376,-0.00280973,-0.00280203,-0.0027914,-0.00277737,-0.00277598,-0.00277187,-0.00276451,-0.00275417,-0.00274119,-0.0027323,-0.00272819,-0.00272154,-0.00271202,-0.00269956,-0.00268404,-0.00268049,-0.00267438,-0.00266537,-0.00265321,-0.00263289,-0.00262973,-0.00262406,-0.0026149,-0.00260344
146,106.925,-0.00262836,-0.00262458,-0.00261738,-0.00260743,-0.00259426,-0.00259392,-0.00259012,-0.00258319,-0.00257344,-0.00256124,-0.00255411,-0.00255023,-0.00254389,-0.00253496,-0.00252329,-0.00250995,-0.00250663,-0.0025009,-0.00249242,-0.00248103,-0.00246333,-0.00246031,-0.00245503,-0.00244645,-0.00243565
147,110.105,-0.00245454,-0.002451,-0.00244427,-0.00243497,-0.00242262,-0.00242317,-0.00241964,-0.00241312,-0.00240403,-0.00239247,-0.00238689,-0.00238324,-0.00237719,-0.00236882,-0.0023579,-0.0023465,-0.00234337,-0.00233802,-0.00233002,-0.00231937,-0.00230401,-0.00230115,-0.00229615,-0.00228818,-0.00227801
148,113.379,-0.00229164,-0.00228832,-0.00228203,-0.00227334,-0.00226177,-0.00226306,-0.00225979,-0.00225366,-0.00224513,-0.00223425,-0.00223002,-0.0022266,-0.00222088,-0.00221298,-0.00220275,-0.00219319,-0.00219012,-0.00218513,-0.00217758,-0.00216764,-0.00215438,-0.00215167,-0.00214693,-0.00213953,-0.00212996
149,116.748,-0.00213901,-0.00213591,-0.00213003,-0.0021219,-0.00211108,-0.00211299,-0.00210996,-0.0021042,-0.00209622,-0.00208596,-0.00208292,-0.00207973,-0.00207431,-0.00206684,-0.00205728,-0.00204935,-0.00204633,-0.00204168,-0.00203456,-0.00202528,-0.00201387,-0.00201131,-0.00200682,-0.00199997,-0.00199097
150,120.216,-0.00199605,-0.00199318,-0.00198766,-0.00198007,-0.00196994,-0.00197237,-0.00196956,-0.00196415,-0.00195669,-0.00194703,-0.00194499,-0.00194203,-0.00193697,-0.00192985,-0.00192091,-0.00191442,-0.00191156,-0.00190713,-0.00190042,-0.00189178,-0.00188199,-0.00187954,-0.00187533,-0.00186898,-0.00186052
151,123.786,-0.00186219,-0.00185953,-0.00185436,-0.00184727,-0.00183778,-0.00184065,-0.00183804,-0.00183297,-0.001826,-0.00181691,-0.00181572,-0.00181299,-0.00180823,-0.00180147,-0.00179312,-0.0017879,-0.0017852,-0.00178097,-0.00177469,-0.00176663,-0.00175825,-0.0017559,-0.00175197,-0.00174608,-0.00173813
152,127.461,-0.00173689,-0.00173443,-0.0017296,-0.00172296,-0.00171409,-0.0017173,-0.00171486,-0.00171012,-0.00170361,-0.00169508,-0.00169462,-0.00169209,-0.00168761,-0.00168122,-0.00167341,-0.0016693,-0.00166676,-0.00166272,-0.00165684,-0.00164933,-0.0016422,-0.00164,-0.00163633,-0.00163077,-0.00162335
153,131.243,-0.00161964,-0.00161736,-0.00161285,-0.00160663,-0.00159834,-0.00160183,-0.00159955,-0.00159512,-0.00158904,-0.00158105,-0.0015812,-0.00157886,-0.00157465,-0.00156862,-0.00156131,-0.00155816,-0.00155577,-0.00155193,-0.00154642,-0.0015394,-0.0015334,-0.00153135,-0.00152791,-0.00152267,-0.00151575
