gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
93,21.8803,15.0453,15.0453,15.0453,15.0453,15.0453,14.9621,14.9621,14.9621,14.9621,14.9621,14.8664,14.8664,14.8664,14.8664,14.8664,14.7634,14.7634,14.7634,14.7634,14.7634,14.6599,14.6599,14.6599,14.6599,14.6599
94,22.5684,15.5694,15.5694,15.5694,15.5694,15.5694,15.4861,15.4861,15.4861,15.4861,15.4861,15.3903,15.3903,15.3903,15.3903,15.3903,15.2873,15.2873,15.2873,15.2873,15.2873,15.1845,15.1845,15.1845,15.1845,15.1845
95,23.2766,16.1095,16.1095,16.1095,16.1095,16.1095,16.0265,16.0265,16.0265,16.0265,16.0265,15.9309,15.9309,15.9309,15.9309,15.9309,15.828,15.828,15.828,15.828,15.828,15.7251,15.7251,15.7251,15.7251,15.7251
96,24.0056,16.6662,16.6662,16.6662,16.6662,16.6662,16.5831,16.5831,16.5831,16.5831,16.5831,16.4876,16.4876,16.4876,16.4876,16.4876,16.3848,16.3848,16.3848,16.3848,16.3848,16.2819,16.2819,16.2819,16.2819,16.2819
97,24.756,17.2401,17.2401,17.2401,17.2401,17.2401,17.157,17.157,17.157,17.157,17.157,17.0613,17.0613,17.0613,17.0613,17.0613,16.9583,16.9583,16.9583,16.9583,16.9583,16.8552,16.8552,16.8552,16.8552,16.8552
98,25.5283,17.8315,17.8315,17.8315,17.8315,17.8315,17.7486,17.7486,17.7486,17.7486,17.7486,17.6531,17.6531,17.6531,17.6531,17.6531,17.5499,17.5499,17.5499,17.5499,17.5499,17.4465,17.4465,17.4465,17.4465,17.4465
99,26.3233,18.4413,18.4413,18.4413,18.4413,18.4413,18.3585,18.3585,18.3585,18.3585,18.3585,18.2631,18.2631,18.2631,18.2631,18.2631,18.1602,18.1602,18.1602,18.1602,18.1602,18.0569,18.0569,18.0569,18.0569,18.0569
100,27.1416,19.0701,19.0701,19.0701,19.0701,19.0701,18.9874,18.9874,18.9874,18.9874,18.9874,18.8921,18.8921,18.8921,18.8921,18.8921,18.789,18.789,18.789,18.789,18.789,18.6857,18.6857,18.6857,18.6857,18.6857
101,27.9838,19.7174,19.7174,19.7174,19.7174,19.7174,19.6352,19.6352,19.6352,19.6352,19.6352,19.5402,19.5402,19.5402,19.5402,19.5402,19.4373,19.4373,19.4373,19.4373,19.4373,19.3342,19.3342,19.3342,19.3342,19.3342
102,28.8508,20.3843,20.3843,20.3843,20.3843,20.3843,20.3022,20.3022,20.3022,20.3022,20.3022,20.2076,20.2076,20.2076,20.2076,20.2076,20.1054,20.1054,20.1054,20.1054,20.1054,20.0031,20.0031,20.0031,20.0031,20.0031
103,29.7431,21.0721,21.0721,21.0721,21.0721,21.0721,20.9897,20.9897,20.9897,20.9897,20.9897,20.8953,20.8953,20.8953,20.8953,20.8953,20.7934,20.7934,20.7934,20.7934,20.7934,20.6914,20.6914,20.6914,20.6914,20.6914
104,30.6616,21.7812,21.7812,21.7812,21.7812,21.7812,21.6986,21.6986,21.6986,21.6986,21.6986,21.604,21.604,21.604,21.604,21.604,21.5023,21.5023,21.5023,21.5023,21.5023,21.4005,21.4005,21.4005,21.4005,21.4005
105,31.607,22.5121,22.5121,22.5121,22.5121,22.5121,22.4293,22.4293,22.4293,22.4293,22.4293,22.3347,22.3347,22.3347,22.3347,22.3347,22.2331,22.2331,22.2331,22.2331,22.2331,22.1317,22.1317,22.1317,22.1317,22.1317
106,32.5802,23.2651,23.2651,23.2651,23.2651,23.2651,23.1825,23.1825,23.1825,23.1825,23.1825,23.0878,23.0878,23.0878,23.0878,23.0878,22.9863,22.9863,22.9863,22.9863,22.9863,22.8851,22.8851,22.8851,22.8851,22.8851
107,33.5818,24.0416,24.0416,24.0416,24.0416,24.0416,23.9591,23.9591,23.9591,23.9591,23.9591,23.8644,23.8644,23.8644,23.8644,23.8644,23.7625,23.7625,23.7625,23.7625,23.7625,23.6609,23.6609,23.6609,23.6609,23.6609
108,34.6128,24.8416,24.8416,24.8416,24.8416,24.8416,24.7591,24.7591,24.7591,24.7591,24.7591,24.6644,24.6644,24.6644,24.6644,24.6644,24.5625,24.5625,24.5625,24.5625,24.5625,24.4606,24.4606,24.4606,24.4606,24.4606
109,35.674,25.6655,25.6655,25.6655,25.6655,25.6655,25.5829,25.5829,25.5829,25.5829,25.5829,25.4882,25.4882,25.4882,25.4882,25.4882,25.3865,25.3865,25.3865,25.3865,25.3865,25.2848,25.2848,25.2848,25.2848,25.2848
