gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
82,15.4891,12.9755,12.9755,12.9755,12.9755,12.9755,12.9434,12.9434,12.9434,12.9434,12.9434,12.9055,12.9055,12.9055,12.9055,12.9055,12.8634,12.8634,12.8634,12.8634,12.8634,12.8199,12.8199,12.8199,12.8199,12.8199
83,15.9899,13.4255,13.4255,13.4255,13.4255,13.4255,13.3936,13.3936,13.3936,13.3936,13.3936,13.356,13.356,13.356,13.356,13.356,13.3142,13.3142,13.3142,13.3142,13.3142,13.271,13.271,13.271,13.271,13.271
84,16.5054,13.8891,13.8891,13.8891,13.8891,13.8891,13.8574,13.8574,13.8574,13.8574,13.8574,13.8199,13.8199,13.8199,13.8199,13.8199,13.7783,13.7783,13.7783,13.7783,13.7783,13.7354,13.7354,13.7354,13.7354,13.7354
85,17.036,14.3668,14.3668,14.3668,14.3668,14.3668,14.3352,14.3352,14.3352,14.3352,14.3352,14.2978,14.2978,14.2978,14.2978,14.2978,14.2562,14.2562,14.2562,14.2562,14.2562,14.2132,14.2132,14.2132,14.2132,14.2132
86,17.5821,14.8591,14.8591,14.8591,14.8591,14.8591,14.8276,14.8276,14.8276,14.8276,14.8276,14.7902,14.7902,14.7902,14.7902,14.7902,14.7485,14.7485,14.7485,14.7485,14.7485,14.7053,14.7053,14.7053,14.7053,14.7053
87,18.1442,15.3662,15.3662,15.3662,15.3662,15.3662,15.3348,15.3348,15.3348,15.3348,15.3348,15.2976,15.2976,15.2976,15.2976,15.2976,15.2559,15.2559,15.2559,15.2559,15.2559,15.2128,15.2128,15.2128,15.2128,15.2128
88,18.7228,15.8886,15.8886,15.8886,15.8886,15.8886,15.8574,15.8574,15.8574,15.8574,15.8574,15.8203,15.8203,15.8203,15.8203,15.8203,15.7788,15.7788,15.7788,15.7788,15.7788,15.736,15.736,15.736,15.736,15.736
89,19.3184,16.4267,16.4267,16.4267,16.4267,16.4267,16.3957,16.3957,16.3957,16.3957,16.3957,16.3588,16.3588,16.3588,16.3588,16.3588,16.3176,16.3176,16.3176,16.3176,16.3176,16.2752,16.2752,16.2752,16.2752,16.2752
90,19.9314,16.981,16.981,16.981,16.981,16.981,16.95,16.95,16.95,16.95,16.95,16.9134,16.9134,16.9134,16.9134,16.9134,16.8726,16.8726,16.8726,16.8726,16.8726,16.8306,16.8306,16.8306,16.8306,16.8306
91,20.5623,17.552,17.552,17.552,17.552,17.552,17.5211,17.5211,17.5211,17.5211,17.5211,17.4846,17.4846,17.4846,17.4846,17.4846,17.4442,17.4442,17.4442,17.4442,17.4442,17.4027,17.4027,17.4027,17.4027,17.4027
92,21.2118,18.1402,18.1402,18.1402,18.1402,18.1402,18.1095,18.1095,18.1095,18.1095,18.1095,18.0732,18.0732,18.0732,18.0732,18.0732,18.0331,18.0331,18.0331,18.0331,18.0331,17.992,17.992,17.992,17.992,17.992
93,21.8803,18.7461,18.7461,18.7461,18.7461,18.7461,18.7155,18.7155,18.7155,18.7155,18.7155,18.6795,18.6795,18.6795,18.6795,18.6795,18.6397,18.6397,18.6397,18.6397,18.6397,18.599,18.599,18.599,18.599,18.599
94,22.5684,19.37,19.37,19.37,19.37,19.37,19.3397,19.3397,19.3397,19.3397,19.3397,19.3039,19.3039,19.3039,19.3039,19.3039,19.2645,19.2645,19.2645,19.2645,19.2645,19.224,19.224,19.224,19.224,19.224
95,23.2766,20.0123,20.0123,20.0123,20.0123,20.0123,19.9823,19.9823,19.9823,19.9823,19.9823,19.9469,19.9469,19.9469,19.9469,19.9469,19.9077,19.9077,19.9077,19.9077,19.9077,19.8674,19.8674,19.8674,19.8674,19.8674
96,24.0056,20.6736,20.6736,20.6736,20.6736,20.6736,20.6438,20.6438,20.6438,20.6438,20.6438,20.6088,20.6088,20.6088,20.6088,20.6088,20.5698,20.5698,20.5698,20.5698,20.5698,20.5295,20.5295,20.5295,20.5295,20.5295
97,24.756,21.3547,21.3547,21.3547,21.3547,21.3547,21.3251,21.3251,21.3251,21.3251,21.3251,21.2901,21.2901,21.2901,21.2901,21.2901,21.2513,21.2513,21.2513,21.2513,21.2513,21.2112,21.2112,21.2112,21.2112,21.2112
98,25.5283,22.0563,22.0563,22.0563,22.0563,22.0563,22.0266,22.0266,22.0266,22.0266,22.0266,21.9917,21.9917,21.9917,21.9917,21.9917,21.9529,21.9529,21.9529,21.9529,21.9529,21.9128,21.9128,21.9128,21.9128,21.9128
