gridnumber,capital,Portfolio[0],Portfolio[1],Portfolio[2],Portfolio[3],Portfolio[4],Portfolio[5],Portfolio[6]
244,24.9904,0,0,0,0,0.00333333,0.00666667,0.0133333
245,25.2985,0,0,0,0,0.00333333,0.00666667,0.0133333
246,25.6101,0,0,0,0,0.00333333,0.00666667,0.0133333
247,25.9253,0,0,0,0,0.00333333,0.00666667,0.0133333
248,26.2442,0,0,0,0,0.00333333,0.00666667,0.0133333
249,26.5668,0,0,0,0,0.00333333,0.00666667,0.0133333
250,26.8931,0,0,0,0,0.00333333,0.00666667,0.0133333
251,27.2232,0,0,0,0,0.00333333,0.00666667,0.0133333
252,27.5571,0,0,0,0,0.00333333,0.00666667,0.0133333
253,27.8949,0,0,0,0,0.00333333,0.00666667,0.0133333
254,28.2366,0,0,0,0,0.00333333,0.00666667,0.0133333
255,28.5823,0,0,0,0,0.00333333,0.00666667,0.0133333
256,28.932,0,0,0,0,0.00333333,0.00666667,0.0133333
257,29.2857,0,0,0,0,0.00333333,0.00666667,0.0133333
258,29.6435,0,0,0,0,0.00333333,0.01,0.0133333
259,30.0055,0,0,0,0,0.00333333,0.01,0.0133333
260,30.3716,0,0,0,0,0.00333333,0.01,0.0133333
261,30.742,0,0,0,0,0.00333333,0.01,0.0133333
262,31.1167,0,0,0,0,0.00333333,0.01,0.0166667
263,31.4958,0,0,0,0,0.00333333,0.01,0.0166667
264,31.8792,0,0,0,0,0.00666667,0.01,0.0166667
265,32.267,0,0,0,0,0.00666667,0.01,0.0166667
266,32.6594,0,0,0,0,0.00666667,0.01,0.0166667
267,33.0563,0,0,0,0,0.00666667,0.01,0.0166667
268,33.4578,0,0,0,0,0.00666667,0.01,0.0166667
269,33.864,0,0,0,0,0.00666667,0.0133333,0.0166667
270,34.2748,0,0,0,0,0.00666667,0.0133333,0.0166667
271,34.6904,0,0,0,0,0.00666667,0.0133333,0.0166667
272,35.1109,0,0,0,0,0.00666667,0.0133333,0.0166667
273,35.5362,0,0,0,0,0.00666667,0.0133333,0.0166667
274,35.9664,0,0,0,0,0.00666667,0.0133333,0.0166667
275,36.4016,0,0,0,0,0.00666667,0.0133333,0.02
276,36.8419,0,0,0,0,0.00666667,0.0133333,0.02
277,37.2872,0,0,0,0,0.00666667,0.0133333,0.02
278,37.7377,0,0,0,0,0.00666667,0.0133333,0.02
279,38.1935,0,0,0,0,0.00666667,0.0133333,0.02
280,38.6545,0,0,0,0,0.00666667,0.0133333,0.02
281,39.1209,0,0,0,0,0.00666667,0.0133333,0.02
282,39.5926,0,0,0,0,0.00666667,0.0133333,0.02
283,40.0698,0,0,0,0,0.00666667,0.0133333,0.02
