gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
195,13.5218,-6.19665,-6.10451,-6.01402,-5.92542,-5.83854,-5.75315,-5.66926
196,13.697,-6.1013,-6.01018,-5.92068,-5.83306,-5.74715,-5.66274,-5.57981
197,13.8742,-6.00714,-5.91702,-5.82852,-5.74186,-5.65693,-5.57348,-5.49151
198,14.0535,-5.91413,-5.82501,-5.73751,-5.65181,-5.56785,-5.48537,-5.40435
199,14.2348,-5.82228,-5.73416,-5.64765,-5.56291,-5.47992,-5.39839,-5.31832
200,14.4183,-5.73158,-5.64445,-5.55892,-5.47514,-5.39311,-5.31253,-5.2334
201,14.6039,-5.64201,-5.55588,-5.47133,-5.3885,-5.30742,-5.22779,-5.1496
202,14.7916,-5.55358,-5.46843,-5.38486,-5.30298,-5.22285,-5.14416,-5.06691
203,14.9815,-5.46626,-5.3821,-5.29949,-5.21856,-5.13938,-5.06163,-4.9853
204,15.1736,-5.38006,-5.29687,-5.21524,-5.13524,-5.057,-4.98018,-4.90478
205,15.3679,-5.29497,-5.21275,-5.13207,-5.05301,-4.97571,-4.89982,-4.82533
206,15.5645,-5.21096,-5.12971,-5.04999,-4.97186,-4.89549,-4.82052,-4.74694
207,15.7633,-5.12805,-5.04776,-4.96899,-4.89178,-4.81634,-4.74228,-4.66961
208,15.9645,-5.04621,-4.96688,-4.88906,-4.81277,-4.73824,-4.6651,-4.59333
209,16.168,-4.96544,-4.88706,-4.81018,-4.73481,-4.66119,-4.58895,-4.51808
210,16.3738,-4.88573,-4.8083,-4.73235,-4.65789,-4.58518,-4.51384,-4.44385
211,16.5821,-4.80707,-4.73058,-4.65556,-4.582,-4.5102,-4.43975,-4.37065
212,16.7927,-4.72946,-4.6539,-4.5798,-4.50714,-4.43624,-4.36668,-4.29845
213,17.0058,-4.65287,-4.57824,-4.50506,-4.4333,-4.36329,-4.29461,-4.22725
214,17.2213,-4.57731,-4.5036,-4.43134,-4.36046,-4.29134,-4.22353,-4.15704
215,17.4394,-4.50277,-4.42998,-4.35862,-4.28863,-4.22038,-4.15344,-4.08781
216,17.66,-4.42923,-4.35735,-4.28689,-4.2178,-4.1504,-4.08433,-4.01955
217,17.8831,-4.35669,-4.28571,-4.21615,-4.14794,-4.0814,-4.01619,-3.95225
218,18.1088,-4.28513,-4.21506,-4.14638,-4.07905,-4.01336,-3.949,-3.88591
219,18.3372,-4.21456,-4.14538,-4.07759,-4.01113,-3.94628,-3.88276,-3.82051
