gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
161,165.774,-1.58236,-1.58034,-1.57752,-1.57856,-1.57655,-1.57378,-1.57384,-1.57185,-1.56913,-1.56815,-1.56624,-1.56354,-1.56154,-1.55968,-1.557
162,170.679,-1.56195,-1.55996,-1.55717,-1.55829,-1.55631,-1.55357,-1.55375,-1.55179,-1.5491,-1.54829,-1.54639,-1.54372,-1.54192,-1.54008,-1.53744
163,175.728,-1.54176,-1.53979,-1.53703,-1.53824,-1.53628,-1.53357,-1.53388,-1.53194,-1.52928,-1.52862,-1.52674,-1.52411,-1.5225,-1.52067,-1.51806
164,180.924,-1.52179,-1.51984,-1.51711,-1.51841,-1.51647,-1.51379,-1.51421,-1.51229,-1.50966,-1.50916,-1.50729,-1.50469,-1.50326,-1.50145,-1.49888
165,186.273,-1.50203,-1.50011,-1.49741,-1.49878,-1.49686,-1.49422,-1.49474,-1.49285,-1.49025,-1.48989,-1.48804,-1.48547,-1.48422,-1.48243,-1.47988
166,191.779,-1.48249,-1.48059,-1.47792,-1.47936,-1.47747,-1.47485,-1.47549,-1.47361,-1.47104,-1.47082,-1.46898,-1.46645,-1.46536,-1.46359,-1.46107
167,197.446,-1.46316,-1.46128,-1.45865,-1.46016,-1.45829,-1.4557,-1.45643,-1.45458,-1.45204,-1.45194,-1.45013,-1.44762,-1.44669,-1.44494,-1.44246
168,203.279,-1.44405,-1.44219,-1.43959,-1.44116,-1.43932,-1.43675,-1.43758,-1.43575,-1.43323,-1.43327,-1.43147,-1.42899,-1.42822,-1.42648,-1.42403
169,209.282,-1.42514,-1.42332,-1.42074,-1.42237,-1.42055,-1.41801,-1.41893,-1.41712,-1.41463,-1.41478,-1.41301,-1.41056,-1.40993,-1.40821,-1.40579
170,215.462,-1.40645,-1.40465,-1.4021,-1.40379,-1.40199,-1.39948,-1.40048,-1.3987,-1.39623,-1.3965,-1.39474,-1.39232,-1.39182,-1.39013,-1.38773
171,221.823,-1.38797,-1.38619,-1.38367,-1.38541,-1.38364,-1.38116,-1.38223,-1.38047,-1.37803,-1.3784,-1.37666,-1.37427,-1.37391,-1.37223,-1.36987
172,228.37,-1.3697,-1.36794,-1.36545,-1.36724,-1.36549,-1.36303,-1.36419,-1.36245,-1.36003,-1.36051,-1.35878,-1.35642,-1.35619,-1.35452,-1.35219
173,235.11,-1.35163,-1.34989,-1.34744,-1.34927,-1.34754,-1.34511,-1.34634,-1.34462,-1.34223,-1.3428,-1.3411,-1.33876,-1.33865,-1.337,-1.33469
174,242.046,-1.33377,-1.33206,-1.32963,-1.3315,-1.32979,-1.32739,-1.32869,-1.32699,-1.32463,-1.32529,-1.3236,-1.32129,-1.3213,-1.31967,-1.31738
175,249.186,-1.31611,-1.31442,-1.31202,-1.31394,-1.31225,-1.30988,-1.31123,-1.30955,-1.30722,-1.30796,-1.3063,-1.30401,-1.30414,-1.30252,-1.30026
176,256.535,-1.29866,-1.29699,-1.29462,-1.29657,-1.2949,-1.29256,-1.29397,-1.29231,-1.29001,-1.29083,-1.28918,-1.28693,-1.28716,-1.28555,-1.28332
177,264.1,-1.28141,-1.27976,-1.27742,-1.2794,-1.27776,-1.27544,-1.27691,-1.27527,-1.27299,-1.27389,-1.27226,-1.27003,-1.27036,-1.26877,-1.26656
178,271.886,-1.26436,-1.26273,-1.26042,-1.26243,-1.26081,-1.25852,-1.26003,-1.25842,-1.25616,-1.25714,-1.25553,-1.25332,-1.25374,-1.25217,-1.24999
179,279.901,-1.2475,-1.2459,-1.24361,-1.24565,-1.24405,-1.24179,-1.24335,-1.24176,-1.23953,-1.24057,-1.23898,-1.2368,-1.23731,-1.23575,-1.2336
180,288.15,-1.23085,-1.22926,-1.22701,-1.22907,-1.22749,-1.22525,-1.22686,-1.22529,-1.22308,-1.22419,-1.22263,-1.22046,-1.22106,-1.21952,-1.21739
