gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
109,35.674,1.34097e-009,1.66428e-009,1.34097e-009,5.33164e-009,6.61708e-009,5.33164e-009,9.36951e-009,1.16285e-008,9.36951e-009,6.79548e-009,8.43385e-009,6.79548e-009,2.18492e-009,2.7117e-009,2.18492e-009
110,36.7663,1.05028e-009,1.3035e-009,1.05028e-009,4.17734e-009,5.18448e-009,4.17734e-009,7.41503e-009,9.20277e-009,7.41503e-009,5.45013e-009,6.76414e-009,5.45013e-009,1.7552e-009,2.17838e-009,1.7552e-009
111,37.8906,8.49991e-010,1.05492e-009,8.49991e-010,3.39601e-009,4.21478e-009,3.39601e-009,5.9986e-009,7.44484e-009,5.9986e-009,4.35389e-009,5.4036e-009,4.35389e-009,1.38888e-009,1.72374e-009,1.38888e-009
112,39.0479,6.62129e-010,8.21766e-010,6.62129e-010,2.62967e-009,3.26367e-009,2.62967e-009,4.67027e-009,5.79626e-009,4.67027e-009,3.41986e-009,4.24438e-009,3.41986e-009,1.08201e-009,1.34288e-009,1.08201e-009
113,40.239,5.31963e-010,6.60218e-010,5.31963e-010,2.08139e-009,2.5832e-009,2.08139e-009,3.6624e-009,4.54539e-009,3.6624e-009,2.67183e-009,3.316e-009,2.67183e-009,8.46914e-010,1.0511e-009,8.46914e-010
114,41.4651,4.13103e-010,5.127e-010,4.13103e-010,1.6429e-009,2.03899e-009,1.6429e-009,2.90622e-009,3.6069e-009,2.90622e-009,2.10916e-009,2.61768e-009,2.10916e-009,6.62254e-010,8.21922e-010,6.62254e-010
115,42.7271,3.28295e-010,4.07446e-010,3.28295e-010,1.27933e-009,1.58777e-009,1.27933e-009,2.21291e-009,2.74644e-009,2.21291e-009,1.57604e-009,1.95602e-009,1.57604e-009,4.92596e-010,6.1136e-010,4.92596e-010
116,44.0261,2.53023e-010,3.14026e-010,2.53023e-010,9.86525e-010,1.22437e-009,9.86525e-010,1.71011e-009,2.12242e-009,1.71011e-009,1.22813e-009,1.52423e-009,1.22813e-009,3.86468e-010,4.79645e-010,3.86468e-010
117,45.3631,2.03029e-010,2.51979e-010,2.03029e-010,7.87455e-010,9.77308e-010,7.87455e-010,1.34795e-009,1.67293e-009,1.34795e-009,9.57463e-010,1.1883e-009,9.57463e-010,3.00558e-010,3.73022e-010,3.00558e-010
118,46.7394,1.55541e-010,1.93041e-010,1.55541e-010,6.0231e-010,7.47526e-010,6.0231e-010,1.03811e-009,1.2884e-009,1.03811e-009,7.42421e-010,9.21416e-010,7.42421e-010,2.33561e-010,2.89871e-010,2.33561e-010
